PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
CG10078:Prat2:mRNA	-0.00546568808945115	0.00320477880361975	-0.00587264017776247	0.00117343091307004	0.00527074892417483	-0.00848700267860936	0.00249437153072916	0.00242043665554762	-0.00250401035187102	0.00298735296749469	3.8588102536702e-05
CG10079:Egfr:mRNA	-0.0331391851661716	-0.00283614962591528	-0.0286074355563074	-0.0243559938343085	0.00640577728839474	0.010047545331613	-0.0278906990393373	-0.0318841824548093	-0.00629420062970759	-0.00839422086244528	0.00638165953722992
CG1007:emc:mRNA	0.00623387292467949	-0.00391432080811854	-0.00320895255253526	-0.0189789260982073	-0.00197056602915174	-0.0126657547305069	-0.00187030955378926	-0.01410307921607	-0.00113785674726633	-0.0156023695579424	-0.00803361141924601
CG10082:CG10082:mRNA	0.00645235513902484	-0.00128116325883631	-0.00247896996144142	0.0151563551862376	0.0113473690480306	0.0117654220038868	0.00181269860081917	0.0210802188261818	0.000452179919021005	0.00653450445880223	-0.00384248152984587
CG10083:CG10083:mRNA	0.00430312701581155	0.00432399453547602	-0.000288369524095872	0.00626106301841194	-2.03382459780961e-05	-0.00159517437604591	0.00305761159682739	0.00364964134944349	0.0125002587398284	0.00804422152398329	-0.00754598687719208
CG10084:swm:mRNA	0.00210034360858744	0.000608897216935378	0.00207842594588504	-0.00401480897452343	0.00488307856651454	-0.00596969327556605	0.000711422799956235	0.00220979884893433	0.0130947886046622	0.0123529353861197	-0.0152652364234167
CG10089:CG10089:mRNA	-0.00580888263919796	-0.00475020199702385	0.00171386494215221	0.00148927946018518	-0.0177372244867931	0.00675189650374571	0.00108082831842979	-0.000165009846321346	-0.000472675862075937	0.0130633958111791	0.00753329751495361
CG10091:GstD9:mRNA	0.00436026895430344	0.0061116109335323	-0.00578345139622388	0.0234222486146409	-0.00673288785277511	0.00229103746481937	0.025120108493914	0.00139248591836485	-0.00688623296046779	-0.0244850124478207	0.00409610611307278
CG10103:CG10103:mRNA	-0.0038827495838132	0.00272467780948235	-0.00894696132787119	0.00613797601831166	-0.00578424713894709	0.00439805024390503	0.00306221786007902	-0.00467063811494126	0.0113619340046153	4.69538399359852e-06	-0.0111974040084417
CG10106:Tsp42Ee:mRNA	-0.0201949554322825	-0.0125978946669143	-0.0171069979840899	-0.00737808622441941	-0.00683892061131163	0.0130681756200222	0.00663324072865317	-0.014031952328114	-0.000571588869731371	-0.00530302167712721	0.0187022251613628
CG10107:CG10107:mRNA	0.00064637035827325	0.000173082125458663	0.00772219097223489	-0.00107419143265292	0.0094130641849187	-0.00648047567934104	0.00572024416919296	-0.00281487705196748	0.00390768697268467	0.000356165931645003	-0.0112190794210597
CG10108:phyl:mRNA	0.00084905447731909	-0.00445762853125449	-0.00257985331619035	-0.00186437617329805	-0.000533839522017865	-0.000755936207832397	-0.00225495313911144	0.0123235091140041	0.00212995252511066	0.0230216706925528	-0.000110752390833158
CG10112:Cpr51A:mRNA	0.0143693288028711	0.0128096326379991	0.015379175623405	-0.0219888039910923	-0.0777920092979491	-0.0306991684234933	0.0226616077907286	0.022064967868517	0.000958982650186638	0.0468538252118927	-0.0197524057128569
CG10117:ttv:mRNA	0.00201719662595188	-0.00649929610343617	0.00356166004751513	-0.0128864747000371	0.0123977846985707	-0.00521347305926354	-0.000470354717444601	-0.000430225739790706	0.0109316446078167	0.00177191424226486	-0.00360848124703203
CG10118:ple:mRNA	-0.0448062038056826	0.0154640750288631	-0.00684801391487011	-0.00770844125123891	0.0128176498938465	0.0243003802442572	-0.0210248421845524	0.0232462115139963	0.0153272796788427	-0.036553565502911	0.00258435094839708
CG10119:LamC:mRNA	-0.0116083267101736	-0.0101171059432657	-0.0189197820778807	-0.00168080792884419	-0.0108849634416059	0.0209082810013733	-0.00117010264375954	-0.0146455304436549	0.0154794719982378	0.00668895470190225	0.01502796938338
CG10121:SP1173:mRNA	-0.0217563156712035	-0.0363491357517428	-0.0141816880318144	-0.00380908063200382	-0.015072284192919	-0.000359125568727405	-0.0335640013532862	-0.00197853607158885	-0.0116246186959129	0.00813341153244783	0.00348682743397653
CG10122:RpI1:mRNA	0.00195297454323479	0.0038702176597496	0.00144839057577197	0.00654420770472313	0.0097975969804071	0.0091697579947191	0.00217810705230849	-0.016483765851812	0.0156774368862676	0.00622690348547094	-0.0149091759156407
CG10126:CG10126:mRNA	-0.012519653481881	0.0167785190706504	-0.0333158386645027	-0.0293424920117514	-0.0247022991767171	0.0301664657228014	-0.00834021326525282	-0.0128581194753339	0.00827477508139913	-0.00741627169010736	0.0140190146296797
CG10128:tra2:mRNA	0.00055159449220795	-0.00158771579378661	0.00370215882491959	-0.00411346531445546	0.00272268528157555	-0.00193477381493733	0.000108698368546081	-0.00380083606941269	0.00386635267122115	0.0133149613869094	0.00765001805485695
CG10129:ndl:mRNA	0.00165815680386761	0.00323158493495027	0.000708619687010032	0.00147040665945548	0.000266466677095169	0.00552396899672662	-0.000408657841012237	0.00611563937595608	-0.0083592245313888	0.0074200994602351	0.000733276870190257
CG10131:CG10131:mRNA	-0.0299762733078948	0.00472340544060711	-0.0201257699198065	-0.0151835578864815	0.0304713145841329	0.000500767155677211	0.00507026490306102	0.00812049005918631	0.0106675647431799	-0.0132666856505427	-0.00546602832907709
CG10137:CG10137:mRNA	-0.00321898214435186	-0.00440989953360194	-0.000992034913114829	0.00375888476274887	-0.00362682677833253	0.00740089182389844	0.00856619148869922	0.00518814266894531	-0.016870683062965	-0.00442532118561571	-0.00572899071031368
CG10139:CG10139:mRNA	0.00207191200356845	-0.00248291944949517	0.00313143097693037	0.00123741624706878	0.00425069537139572	0.0108913661319544	0.00271589458421655	-0.00361034022642717	0.0159999050118261	0.00792773689262845	0.000154478055780468
CG10145:mspo:mRNA	-0.0106318905773771	-0.0202867558761908	0.0185145633315408	-0.00191052157109336	-0.0128959363936954	0.00742917660528317	-0.000744195567205262	0.000795806666872971	0.00826820401991764	0.0183025894253171	0.0101964527612937
CG10173:Best2:mRNA	-0.0846285110200427	0.0208448802524841	-7.38530696560195e-05	-0.00943343793195264	-0.0129255277028832	0.00392624735553315	6.72962099182362e-05	0.0177880886469348	0.0133750553902043	-0.014232016071368	-0.00803591070362548
CG10175:CG10175:mRNA	-0.00223593571308782	-0.00261549656493168	-0.00211390860812108	0.00622961093360361	-0.00422192662489506	0.00106145758964786	-0.0193561329229557	-0.00119149745010794	-0.00515205478811919	-0.0102475634263776	-0.00387355648493693
CG10181:Mdr65:mRNA	-0.00824446391999442	0.00607123743995696	0.00651096957479913	-0.00195340634558732	0.00549024337011448	0.000584713950062782	-0.00336088885688554	0.00135732885686208	-0.00820069316316105	-0.00780210967513846	-0.00554408377073027
CG10192:ofs:mRNA	0.00226875074758069	0.0010517056371028	0.0139722462956702	-0.00661917577543286	0.0117196247381938	-0.00826736887400704	0.00341483333318534	-0.00370013780382395	-0.000182221787756495	0.00309207175817561	-0.0114142897885913
CG10203:xl6:mRNA	0.00835769276975359	-0.000773544285557009	0.00692623490746777	0.00796299837552222	0.00535596068211967	0.00109094657516929	-0.00772865261594311	-0.0158430383945258	0.0167767567375406	-0.00767174747785429	0.0195680386395928
CG10207:NaPi-T:mRNA	0.00197742508519212	0.00268741675235182	0.00199145455374036	-0.0018896294555851	-0.00336371711256678	0.00340672255856956	0.00794638438032532	0.00273443655300028	-0.0129341474586774	-0.0109234150759962	-0.00975377503371858
CG10209:CG10209:mRNA	0.00170527867002181	0.00164182121414199	-0.00284987198813316	-0.00112165869583769	-0.00729002639634869	-0.00390809556567081	-0.0029183521858517	0.00214071776886673	0.00271731096398473	-0.00386937824118643	-0.00769176176472367
CG10210:tst:mRNA	0.00390393337096175	5.58580887572457e-05	0.0023606723653423	-0.00557954767676075	-0.00447140779750199	0.00155482998678404	-0.00566845869781529	0.00128140985042908	-0.00434706620305823	0.00708339973440857	-0.0194197501897063
CG10212:SMC2:mRNA	0.00646796359472215	-0.00508173701663743	0.012988916616064	-0.0160877091877677	0.00140708010981802	-0.0154115368039488	-0.0101543814103559	0.00183544075656229	0.0143508419433224	0.0029437995091812	-0.00373143947960293
CG10214:CG10214:mRNA	0.000131616822287607	-0.00269315445054452	-0.00348913990620779	0.0119937766594906	0.00382125746997984	-0.00417008055082682	0.000177765484185634	-0.0115661724503642	0.00607165246590891	-0.00502661416233928	0.00226405526726932
CG10215:Ercc1:mRNA	0.00547432614538606	0.00162485675532465	-0.00286796567995042	-0.000521998904093994	-0.00837400776666959	0.00461299691969276	-0.00851281185189081	-0.000595857095980835	-0.0144690930482777	-0.00272306068636381	0.00136489672871935
CG10217:CG10217:mRNA	-0.0184644275166119	0.0115208035120251	-0.0258195925566388	0.0092615525905159	-0.00297925627339878	-0.0139195150984189	-0.00883243354037868	-0.00385906740954692	-0.0035254642787393	-0.0054793406993173	-0.015613459747414
CG10219:CG10219:mRNA	-0.0122359114117061	0.000866242888058773	-0.00674403714238601	-0.00305312276193669	0.00436158400795152	-0.00571909336131777	-0.000819320003255889	0.0150528309961785	0.00294706905949445	-0.0106308538905434	0.00403063578308709
CG10223:Top2:mRNA	0.00543593594713438	-0.00422722019546455	0.0152706376637817	-0.0153883508013961	0.00754834419076303	-0.0047608684424336	-0.00912019981388119	-0.011575514209725	0.00326457336944754	0.00170394895868798	0.0112962637958097
CG10226:CG10226:mRNA	-0.00736311248094988	0.00284359145987969	0.00809040207139092	0.00167906198450917	-0.017209440864412	-0.00101673638436087	-0.00201613881512743	-0.000457778666912374	-0.00390645269729269	0.00226338823741516	-0.00964665780723039
CG10234:Hs2st:mRNA	0.0040279311737302	-0.00150045936589171	-0.00100316883289446	0.00404713909681817	0.00522521333880148	0.00517331842375827	-0.000885739442778371	-0.00346131417539741	0.00154756476234743	0.0151248630932869	-0.00381758037125231
CG10236:LanA:mRNA	0.00139510526638071	-0.0152903331766077	-0.0203322744568243	-0.00386997827542984	0.00228014381674041	-0.00438196168343311	0.000199122047998371	-0.00807714728782165	0.004815839420431	0.0091994404748731	0.0189349856033331
CG10244:Cad96Ca:mRNA	0.0151139248792421	-0.0015233070594381	-0.00841218885144199	0.0208263194793213	0.0147032874775694	0.00370130374743996	-0.0336272633694124	0.0111686130537152	-0.00397080112015285	0.00723978950290802	0.0017454396184152
CG10254:CG10254:mRNA	0.000607393881541428	0.00422266282054226	0.00089486691354344	0.00175496862747764	-0.00610800077720465	-0.00163091272860565	-0.0008245863267104	0.0116972809137226	-0.00958251743740168	-0.00896560537722841	0.00367248253328641
CG10286:CG10286:mRNA	0.00279875882774355	0.00257829310372177	0.00136789081953578	-0.00492815064154685	-0.00374459958313353	0.0125599223080281	0.00037781456706769	-0.00153558539661626	0.0076059956572385	0.00114798485297102	0.0112484345629299
CG10289:CG10289:mRNA	0.00112859735021489	0.00284093128970993	0.00109947406313793	-0.00122628443945357	-1.57569002086239e-05	0.000398454469152808	-0.00205103083102856	0.00195280045522508	0.00878748783269559	0.00691956569995756	1.07509966107962e-05
CG1028:Antp:mRNA	-0.00609393620995888	-0.00208504227420514	-0.0160339138547574	-0.00580609230100067	0.0187944404465566	0.00833541613516037	-0.0387637644096051	0.0123630660615043	0.0126689755303631	-0.0154431740509272	-0.00184444540032784
CG10302:bsf:mRNA	0.00153181234593945	0.00832585846054308	-0.0033667416659341	0.00446330494384242	0.00350471514275573	-0.000496130752614665	0.00350522895586904	-0.00540591221490251	0.00775677446399792	-0.00735430855198087	8.82354653159849e-05
CG10305:RpS26:mRNA	0.00244359980747372	-0.00414783289457273	0.00770750933991286	-0.00888651415270072	0.0025506170045596	0.00781223096642771	0.0100718184660992	0.00662350176379717	-0.0106484936484056	-0.00153672725031394	-0.0117309682195811
CG10306:CG10306:mRNA	0.00438249307200571	0.00318212684529306	-0.00033429202663364	-0.01144485974385	0.000219208397142834	0.00650085856066359	-0.0044619079863077	0.010052848805981	-0.00852740008002006	-0.00687776895870941	-0.00807297604234537
CG10311:CG10311:mRNA	-0.0155481575200189	0.00325660528031461	-0.000872517669832798	-0.00314544439412222	-0.0130262661748614	0.00336052636810693	-0.0115005654714567	-0.0255131506628016	-0.0139548244237791	-0.0142449455563161	-0.000350818498942743
CG10318:NC2alpha:mRNA	0.00570208147639222	0.00223047293123133	-0.00085615738837926	0.00226521436263445	0.00609500357947876	-0.00897781858794182	-0.00270268413603097	-0.0140465958568943	0.018018213453288	-0.0138634254447064	0.0195718117927708
CG10321:CG10321:mRNA	0.00404172231156433	-0.00516507365376276	0.0081967015812617	0.00209216997764496	0.00135019652247112	0.000258974496233963	0.0019856526339917	0.0013093947046502	7.67703744066602e-05	-0.00760971630296074	-0.00744918332609562
CG10324:CG10324:mRNA	-0.0013485496288964	0.00204026168587508	0.00281619036613762	0.000348075299259383	-0.00415312979258378	0.00944722929295982	0.00475933477253235	-0.00768430110604206	0.00480107273619129	0.0246990303453947	-0.0021188130973474
CG10326:CG10326:mRNA	0.00334969601671734	-0.000406650215392006	0.00305534183039738	-0.00453067876364319	0.00124055682451073	-0.00203184596323687	-0.00753485746764285	0.00279037251755201	0.000428895952019632	-0.000450244148531827	0.0114436801997879
CG10328:nonA-l:mRNA	0.00205445394107616	0.000150153167003595	-0.0057376865068983	-0.00238309203738186	-0.00821734281644036	0.000683021598411509	0.0104491165491839	0.00238970036817207	0.0101399831442329	0.00148403988273736	0.00378021919868349
CG10333:CG10333:mRNA	0.00464000899819076	0.00526390030190438	0.000337187382957993	-0.00141828960254919	-0.00195289382927857	-0.00499191362390465	-0.00222056470034858	0.00427168724365935	0.0130052115073137	0.000873872872384912	0.00767880551889017
CG10337:CG10337:mRNA	-0.00962161582586119	-0.00712940991936163	-0.00597910489575425	0.0267100069439173	0.00297925098117846	-0.00562826877811629	0.00297936070280058	0.0104479385654027	-0.00991473457545871	-0.0195873262982379	0.00058991087377861
CG10338:CG10338:mRNA	0.00837965263471069	0.00371866897313739	-0.00480583353538021	-0.00107496269067414	-0.00306928345337478	0.00622682205263507	0.0145467309872443	0.00329953933901377	-0.00124183197555002	-0.0204133188398515	-0.0117471983415236
CG10340:CG10340:mRNA	-0.00731970212598408	-0.00365938990110892	-0.00577589007736901	-0.00116908636478332	0.000910280046503084	0.00314778196512826	-0.00323366966416862	-0.00237106567792439	0.00986057584186384	0.00165897240491089	0.0193785329409964
CG10343:CG10343:mRNA	0.00036926142920457	0.000597977616842688	-0.00921305589139263	0.000585803593706958	-0.00523846366485892	0.00270104368581349	0.00167828068544368	-0.00249831278944435	-0.00486248586267843	0.00449917805560837	0.00545487149844825
CG10347:CG10347:mRNA	0.00432243853683104	0.0027992602687803	0.00299266956896529	0.00792953439993348	0.00343435373072053	-0.00481755991804034	0.00393562094480997	0.00378532459479217	0.000247100856383484	-0.00479841378066734	-0.0150662915916472
CG10354:CG10354:mRNA	0.00474096956116655	0.00237490362017994	0.00375130737091924	-0.0040596965206384	0.0054228297099967	-0.0038968446334204	0.00635287685583233	-0.0143765374013394	0.00843832567218621	0.00634151459975921	0.0116508409212936
CG10360:ref(2)P:mRNA	0.00568492549212527	0.0188792351556622	-0.0151046104220896	0.0228446769816886	-0.0072833565161356	0.00737967831591757	0.010024401161665	0.0113802037182306	0.000773328566074408	0.00595120677066468	0.00730809868441271
CG10362:CG10362:mRNA	-0.00165277077287656	-0.00356893308933031	0.000279914051283922	-0.00121334066253559	-0.00136821454227775	0.00524995082789056	0.00376079766780845	0.00385708853582266	0.00274823221169352	0.0053942843231418	0.0047207238263831
CG10363:TepIV:mRNA	-0.00385023367702765	0.00742501369059256	-0.0198429303264918	0.0280849309029271	-0.0100051863687261	0.000635511848835283	0.00059412877446025	0.00275873426538788	-0.0177247996260283	0.0133711040301883	-0.0115915462666654
CG10365:CG10365:mRNA	0.00587215193440711	0.00831974602678069	-0.00413799953509433	-0.0361889924578498	-0.0194623071486127	0.0158144142323291	-0.00629688325353288	0.0300145841356975	0.0348386599982914	-0.0461954809237476	0.010515259150196
CG10371:Plip:mRNA	-0.00210741099569918	0.00171069117449338	-0.00268268588450209	-0.00059784251634088	0.00374973459442824	-0.0118732849621092	-0.0120735327139442	0.00288145027639669	0.0140289508616059	-0.0138561118457874	-0.00354150201100279
CG10372:Faf:mRNA	-0.00649810412005089	-0.00440154029782406	-0.00442449093468865	0.00401397900338599	0.00296958620376286	-0.00624158559112192	0.012127897738474	-0.00618424962797681	-0.00664469732387155	0.00480332304040132	0.00781790928919903
CG10374:Lsd-1:mRNA	-0.00387062064672618	0.00624235708764212	-0.0280019452387455	-0.0232282895957001	-0.00512563657853521	-0.00298373765857734	-0.012787286960393	0.0097062181883013	-0.0136939896813414	0.00107673070527443	-0.0105655861390403
CG10376:CG10376:mRNA	-0.00365400921928253	-0.00336670518887109	-0.00520411993108964	-0.0137928848614567	0.00541651929419064	0.00797149467827823	-0.00232552239109802	-0.00785347767269733	0.00645550500333916	0.00295908323601447	-0.0192964916794248
CG10382:wrapper:mRNA	-0.00992713795393702	0.00827471799741905	0.0192021256929513	-0.0128143151826898	0.0124427270164416	0.00483313100294008	-0.0228968815685371	-0.0304554293640317	0.00874957694005925	-0.00818239781287034	0.000423004838538837
CG10383:CG10383:mRNA	-0.00424846568704987	6.34319264790751e-05	0.00278036887230434	-0.0204266482599485	0.00779779847988524	-0.00682117542066832	-0.0102751708825553	-0.00183596467233697	-0.00662426344923323	0.0012665923126238	0.00749382631184902
CG10385:msl-1:mRNA	0.00553427125243131	-0.00218175981807803	0.00927567798447638	-0.00677337927388516	0.00231179517912459	-0.00236778854510077	0.000417724540099317	-0.0055491863618659	0.0111884641639624	0.00188761963465513	-0.00767469368896011
CG10391:Cyp310a1:mRNA	-0.00948643713330736	-0.0135208335006381	-0.00254084555588199	-0.00846216794900768	-0.0260400386765599	0.0170977027379178	0.0188320701838457	-0.0158370123359796	-0.00670569522690958	0.0198967739366734	-0.0062374786768816
CG10392:Ogt:mRNA	-0.00175839214586378	5.34998724737153e-05	-0.00280615577693243	-0.000829535986942833	0.00512221040088145	0.00176726036549744	-0.00457908876949144	0.00146395801511488	0.00858661681660466	-0.00278508249826757	-0.00374107531632727
CG10396:CG10396:mRNA	-0.000786050370142045	4.39541141253338e-05	-0.00310255076693016	-0.00335695535789387	-0.00232152936923031	-0.00396274186650726	-0.00712064379486709	-0.00506388575404828	-0.0125662652322644	0.00251082379697774	0.00184012159470818
CG10413:CG10413:mRNA	-0.00634391348767655	0.00381143413515177	-0.000537845216841022	0.00502433550355202	0.00114509306667804	0.00830758187302033	0.000847868183440743	0.0061433833792364	-0.00454620635422196	-0.0109256372398515	0.00777392943484599
CG10414:CG10414:mRNA	0.0035411678845382	0.000578147954732995	0.00533298936065702	-0.00285428315109145	0.00138858369399611	0.006405219650717	0.00205674531929881	-0.00732666898576478	-0.00590252892606075	0.0205984355323164	0.0187457776287978
CG10417:CG10417:mRNA	0.00194750474995238	0.0101915135610818	-0.000895086310190344	0.0118178787626187	-0.000243725705433441	0.00564444195697884	-8.94103584691854e-05	-0.00325107316170659	0.0111908651038258	0.00528017956123865	0.0155465809492142
CG10422:bam:mRNA	-0.00436319508680247	-0.000973024049044393	0.00173254065426746	0.00727488320884754	-0.00656782609117033	0.00830827783285124	-0.0125022952878438	-0.00123659758157199	-0.000979127584084618	0.00837045697722414	0.0037736508204396
CG10426:CG10426:mRNA	0.000918664095800712	-0.00104687159079851	0.0100980745158794	-0.00432305919323476	0.00137066281213331	-0.00554906491333017	-0.00629721690255148	-0.00976435709770455	-0.00310241039257319	0.0033538995057512	0.00207710455265388
CG10435:CG10435:mRNA	0.00165993146987784	-0.000692012019270599	-0.000714648415553086	-0.00163765221490331	-0.00298324472946443	-0.00519687820254064	0.00218812140673731	0.00878872986597698	0.00444404802170146	0.011707093690798	-0.0154186169440975
CG10444:CG10444:mRNA	-0.0206129687262485	-0.00794203188010374	-0.0159387571747303	0.020774253272246	0.0155171244388288	-0.0044102989231032	0.00183753239711498	-0.00587971199445894	-0.00561818211014182	-0.0255176605097682	0.0163755786343987
CG10446:Side:mRNA	-0.00023744205375668	-0.00617272164146756	0.000399122800068588	0.000133276601989864	0.00352512511260042	0.0023777577362685	-0.00699278961524047	0.0039190675330586	0.00766394091571672	0.0152571943150464	0.00294111633353988
CG10449:Catsup:mRNA	0.000179972244728959	0.000113094297292885	0.00221405485507726	-0.00231602471664137	-0.00447083189015167	0.00531622520040276	-0.00802470530802531	0.00971502708593756	-0.00575130712632462	0.00841178099641685	-0.0194250865465693
CG1044:dos:mRNA	0.00518140517452275	0.00219785095827852	0.000933265620909429	-0.00253969732370928	0.000105904302696225	-0.0013278198676558	-2.1593946575806e-05	0.00426992836493829	-0.0108334552300501	0.00606159296813124	-0.0156518770533413
CG10463:CG10463:mRNA	-0.00024592983613041	0.0052822294577137	-0.000524531512058706	0.0147402821432671	-0.00843770202068035	-0.00556466817160649	0.00378603773382483	-0.00368352187710378	0.00253299499621861	-0.00387740830103524	0.000239646075257556
CG10465:CG10465:mRNA	-0.00268745353476076	0.0028816126000791	-0.00622871082304269	5.05341253364763e-05	0.00737776066064112	0.00832447849726137	0.00175066221767156	0.00901169323340254	0.00240056298089743	-0.00424193627153447	-0.015119600218279
CG10466:CG10466:mRNA	-0.000776938843237057	7.57503157973426e-05	-0.00390233678515194	0.00778602999549285	-0.000751351860310535	0.00897538009617068	-0.0133797160461054	-0.00409146678459039	-0.00274814877703657	-0.00834110000171754	0.00762275975994111
CG10470:CG10470:mRNA	-0.00472119047628908	0.00448978274927247	-0.00797869617086956	0.000984314687451082	0.00251336524634732	-0.00228901274665072	-0.0102074812721047	0.00836697897013489	0.00615634388793078	0.0128131820575813	-0.00941884069411364
CG10473:hkl:mRNA	0.00596342823013081	-0.00327526511946302	0.00729259130346593	-0.00518152525187575	0.00765417056553699	0.00127449962611983	-0.00319013626166594	0.00585686093688171	0.0042529485322939	-0.00160423020582678	0.00787739023517756
CG10479:CG10479:mRNA	0.0203851760570965	0.00546865837325315	-0.0118312723506328	-0.0404355504353952	-0.0184921170518789	-0.0130512353803326	0.044872795400785	-0.0231942354006446	0.00142581719202625	-0.0163121910165673	0.00852582088490963
CG10488:eyg:mRNA	-0.00372616315308561	0.0010358036717711	0.00107585593139474	-0.000994665613666265	-0.00446762141283478	0.00394778925489899	-0.000583820047433738	0.00297142556146346	0.00530859478490364	-0.000153438124737305	0.00100572997960871
CG10489:Pole2:mRNA	0.0059870164637705	-0.00972122979292545	0.0118921793508582	-0.000636275439292648	-0.00490797058398416	-0.00303720212986572	0.0117154209877675	0.000361181616632667	0.0131672262638513	-0.0153016180693235	0.00792946014271061
CG10493:Phlpp:mRNA	0.00272245767575078	0.0016170038740189	-0.000490627214591249	0.00416948500769376	-0.00348234524650114	-0.00243575733052543	0.00487972865294566	-0.00412598185421952	0.000716360227158901	0.00279397670770038	0.00479340656200356
CG10494:CG10494:mRNA	0.0011647283185126	0.000961971869233832	0.00733768158562389	0.00351837002792391	0.00192876309890894	-0.00389230773650661	-0.0077286773318367	0.00751104745275097	-0.00591605170500533	0.00336710671172031	-0.00566838979232151
CG1049:Cct1:mRNA	0.00664608201840459	0.0103532804271554	-0.00597375613619589	-0.00636674543648311	-0.000748069543765811	-0.00898345338782391	-0.00991643628935518	0.00796456341515376	-0.0008396669866829	-0.0151701946713581	0.0112861834128117
CG10501:amd:mRNA	-0.000855894032473912	-0.00239250621925824	0.00215093050109596	0.0173360382247381	-0.0231170609145493	-0.00230446494688597	-0.0320213009455306	-0.00441950151915201	-0.0254261037944206	-0.0235234414945092	0.00945562456168016
CG10512:CG10512:mRNA	-0.0196424081265218	0.00410135082778989	-0.0188511514225618	-0.000521402535982861	0.01132470696673	-0.0067539990994089	0.0226739587706539	0.00398558026617985	0.00829180682805295	-0.00621149432120219	-0.00928021235600752
CG10516:CG10516:mRNA	0.00172666458204092	-0.000657009062304797	0.00140481935174242	-0.000526467935231485	-0.00990566084505426	-0.00280545025021264	0.00320701797931799	-0.00530927650983062	0.0106640817237225	-0.00157274333939633	0.00576027271567059
CG10522:sti:mRNA	0.0109778504581101	-0.00231841917854038	0.00907995359937157	-0.011371742527061	-0.000820349904196275	-0.0144226248352528	-0.0165569267471214	0.000172425386724704	0.00421289600462479	-0.00570613960354875	0.00402105125790629
CG10527:CG10527:mRNA	-0.000574577856381669	-0.00966235548941302	-0.0170779706134781	0.00932950630434971	-0.00134698935399847	0.00593284303354832	-0.0100625359058265	-0.0176081083079478	-0.00224181920427713	-0.0209753435526182	-0.00765476113784578
CG10535:CG10535:mRNA	0.00480673329188578	0.0070256656055614	-0.00157954422295475	0.00241000588004328	-0.00322781528676281	-0.00195125627467675	0.0127444206215036	0.00726889987631471	0.00489641863517718	-0.00613625193270611	-0.0114148297341231
CG10542:Bre1:mRNA	0.00396313006306997	-0.00355588543237233	0.00836367192919058	-0.00876161942382981	0.00574032660741234	-0.00993964975875546	-0.000916970806174097	-0.00238107996499394	0.0121176500740337	-0.00567366937223187	0.0194794843253412
CG10545:Gbeta13F:mRNA	-0.00329080295126298	-0.000636827025710019	-0.00530369368133301	-0.00268895052183828	0.0029877118596018	0.00812517882183094	-0.00572567628389933	0.0114532817601648	0.00260862841299518	0.00602836467086264	-0.0191405705688088
