"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000068912" 75 5 0 0 0 0 75 6 0 0 0 0 75 28 0 0 2 "ERLEC1"
"ENSG00000069275" 197 8 0 0 0 0 197 5 0 2 0 0 197 55 0 0 3 "NUCKS1"
"ENSG00000069345" 135 4 0 0 0 0 135 2 0 0 0 0 135 77 2 0 0 "DNAJA2"
"ENSG00000069849" 86 0 0 0 0 0 86 6 0 0 0 0 86 27 0 0 0 "ATP1B3"
"ENSG00000070081" 44 0 0 0 0 0 44 3 0 0 0 0 44 29 0 0 0 "NUCB2"
"ENSG00000070087" 61 2 0 0 0 0 61 6 0 0 0 0 61 34 0 0 0 "PFN2"
"ENSG00000070756" 198 10 0 0 0 0 198 4 0 0 0 0 198 36 0 0 2 "PABPC1"
"ENSG00000070831" 240 3 0 0 0 0 240 0 0 0 0 0 240 95 3 2 3 "CDC42"
"ENSG00000071082" 414 15 0 2 0 0 414 8 3 0 0 0 414 159 3 0 0 "RPL31"
"ENSG00000071127" 156 3 0 0 0 0 156 6 0 2 0 0 156 68 0 0 0 "WDR1"
"ENSG00000071462" 73 0 0 0 0 0 73 6 0 0 0 0 73 26 0 0 0 "WBSCR22"
"ENSG00000071539" 127 4 0 0 0 0 127 5 0 2 0 0 127 30 0 0 3 "TRIP13"
"ENSG00000071626" 70 3 0 0 0 0 70 5 0 3 0 0 70 32 3 0 0 "DAZAP1"
"ENSG00000071994" 96 2 0 0 0 0 96 7 0 2 0 0 96 44 0 0 0 "PDCD2"
"ENSG00000072042" 61 5 0 0 0 0 61 3 0 0 0 0 61 25 0 0 0 "RDH11"
"ENSG00000072210" 137 5 0 0 0 0 137 4 0 0 0 0 137 50 0 0 0 "ALDH3A2"
"ENSG00000072506" 62 0 0 0 0 0 62 2 0 0 0 0 62 32 0 0 0 "HSD17B10"
"ENSG00000072803" 87 4 0 0 0 0 87 0 0 0 0 0 87 34 2 0 2 "FBXW11"
"ENSG00000073111" 99 4 0 0 0 0 99 0 0 0 0 0 99 42 0 0 0 "MCM2"
"ENSG00000073578" 136 4 0 3 0 0 136 0 0 0 0 0 136 49 0 0 0 "SDHA"
"ENSG00000073712" 139 7 0 2 0 0 139 5 0 0 0 0 139 31 0 0 0 "FERMT2"
"ENSG00000074695" 136 3 0 0 0 0 136 2 0 0 0 0 136 39 0 0 0 "LMAN1"
"ENSG00000074696" 89 0 0 0 0 0 89 3 0 0 0 0 89 30 0 0 0 "PTPLAD1"
"ENSG00000074800" 448 11 0 0 0 0 448 12 0 3 2 0 448 68 0 0 2 "ENO1"
"ENSG00000074842" 49 0 0 0 0 0 49 0 0 0 0 0 49 34 0 0 2 "C19orf10"
"ENSG00000075142" 170 12 3 3 0 0 170 7 0 4 0 0 170 66 0 0 0 "SRI"
"ENSG00000075415" 212 2 0 0 0 0 212 7 0 0 3 0 212 73 0 0 0 "SLC25A3"
"ENSG00000075618" 68 2 0 0 0 0 68 2 0 2 0 0 68 28 0 0 2 "FSCN1"
"ENSG00000075624" 551 6 0 0 0 0 551 7 3 0 0 0 551 95 3 2 0 "ACTB"
"ENSG00000075790" 67 3 0 0 0 0 67 2 0 0 0 0 67 25 0 0 0 "BCAP29"
"ENSG00000076003" 95 5 0 0 2 0 95 0 0 0 0 0 95 32 0 0 0 "MCM6"
"ENSG00000076382" 91 9 0 2 4 0 91 8 2 0 0 0 91 21 0 0 0 "SPAG5"
"ENSG00000076554" 79 0 0 0 0 0 79 2 0 0 0 0 79 41 0 0 0 "TPD52"
"ENSG00000076706" 98 6 0 2 0 0 98 6 0 0 0 0 98 27 0 0 0 "MCAM"
"ENSG00000077097" 100 7 0 3 0 0 100 2 0 0 0 0 100 23 0 0 2 "TOP2B"
"ENSG00000077147" 195 3 0 2 0 0 195 16 2 8 0 0 195 62 6 2 0 "TM9SF3"
"ENSG00000077152" 67 13 2 3 0 0 67 2 0 0 0 0 67 22 0 0 0 "UBE2T"
"ENSG00000078140" 105 4 0 0 0 0 105 5 0 0 0 0 105 48 0 0 0 "UBE2K"
"ENSG00000078304" 126 3 0 2 0 0 126 6 0 2 0 2 126 66 0 0 2 "PPP2R5C"
"ENSG00000078369" 94 3 0 0 0 0 94 6 3 3 0 0 94 36 2 0 0 "GNB1"
"ENSG00000078668" 85 2 0 0 0 0 85 3 0 0 0 0 85 32 0 0 0 "VDAC3"
"ENSG00000078674" 102 4 0 2 0 0 102 4 0 3 0 0 102 28 0 0 0 "PCM1"
"ENSG00000079246" 326 4 0 0 0 0 326 11 0 6 0 0 326 94 2 0 6 "XRCC5"
"ENSG00000079332" 76 3 0 2 0 0 76 4 0 0 0 0 76 33 0 0 0 "SAR1A"
"ENSG00000079459" 150 7 0 0 0 0 150 0 0 0 0 0 150 76 0 0 0 "FDFT1"
"ENSG00000079785" 102 2 0 0 0 0 102 3 0 0 0 0 102 34 0 0 0 "DDX1"
"ENSG00000080371" 87 0 0 0 0 0 87 5 0 0 0 0 87 52 0 0 0 "RAB21"
"ENSG00000080824" 392 15 0 3 5 0 392 8 0 0 0 0 392 47 0 0 0 "HSP90AA1"
"ENSG00000081154" 90 5 0 0 0 0 90 3 0 2 0 0 90 40 0 0 0 "PCNP"
"ENSG00000081870" 84 0 0 0 0 0 84 4 2 0 0 0 84 37 2 0 0 "HSPB11"
"ENSG00000082153" 254 3 0 0 0 0 254 8 2 0 0 0 254 90 0 3 2 "BZW1"
"ENSG00000082515" 108 6 0 2 0 0 108 2 0 0 0 0 108 63 2 0 0 "MRPL22"
"ENSG00000082898" 223 11 0 2 0 0 223 10 0 0 0 0 223 54 0 0 0 "XPO1"
"ENSG00000083099" 67 2 0 0 0 0 67 0 0 0 0 0 67 43 0 2 0 "LYRM2"
"ENSG00000083312" 374 9 2 2 0 0 374 11 0 4 0 0 374 79 0 0 6 "TNPO1"
"ENSG00000083457" 82 0 0 0 0 0 82 2 0 0 0 0 82 48 0 0 0 "ITGAE"
"ENSG00000083520" 85 10 2 3 0 0 85 4 0 0 0 0 85 27 0 0 0 "DIS3"
"ENSG00000083845" 229 5 0 0 0 0 229 11 0 2 0 0 229 108 0 0 4 "RPS5"
"ENSG00000083937" 89 4 0 0 0 0 89 8 0 4 0 0 89 44 0 0 2 "CHMP2B"
"ENSG00000084073" 100 0 0 0 0 0 100 4 0 0 0 0 100 68 0 0 3 "ZMPSTE24"
"ENSG00000084090" 109 0 0 0 0 0 109 0 0 0 0 0 109 45 0 0 0 "STARD7"
"ENSG00000084207" 158 4 0 0 0 0 158 5 0 0 0 0 158 68 0 0 0 "GSTP1"
"ENSG00000084463" 92 5 0 3 0 0 92 2 0 0 0 0 92 27 0 0 0 "WBP11"
"ENSG00000084623" 132 0 0 0 0 0 132 2 0 0 0 0 132 72 3 0 3 "EIF3I"
"ENSG00000084733" 124 5 0 2 0 0 124 5 0 0 0 0 124 53 0 3 3 "RAB10"
"ENSG00000084754" 105 2 0 0 0 0 105 2 0 0 0 0 105 43 0 0 0 "HADHA"
"ENSG00000085063" 284 3 0 0 0 0 284 2 0 0 0 0 284 121 0 0 8 "CD59"
"ENSG00000085231" 159 7 2 3 0 0 159 10 2 7 0 0 159 66 0 0 0 "TAF9"
"ENSG00000085871" 55 0 0 0 0 0 55 0 0 0 0 0 55 32 0 0 0 "MGST2"
"ENSG00000086061" 292 21 0 4 3 0 292 14 0 3 0 0 292 90 0 0 0 "DNAJA1"
"ENSG00000086062" 142 3 0 0 0 0 142 5 0 0 0 0 142 32 0 0 0 "B4GALT1"
"ENSG00000086065" 96 5 0 2 0 0 96 7 0 2 0 0 96 28 0 0 0 "CHMP5"
"ENSG00000086189" 84 5 0 2 0 0 84 0 0 0 0 0 84 39 0 0 3 "DIMT1"
"ENSG00000086475" 70 5 0 2 0 0 70 2 0 0 0 0 70 31 0 0 0 "SEPHS1"
"ENSG00000086598" 88 2 0 0 0 0 88 0 0 0 0 0 88 30 0 3 0 "TMED2"
"ENSG00000087053" 140 5 0 0 0 0 140 8 0 4 0 0 140 52 0 0 2 "MTMR2"
"ENSG00000087077" 74 5 0 3 0 0 74 3 0 0 0 0 74 38 0 0 0 "TRIP6"
"ENSG00000087086" 399 6 0 0 0 0 399 3 0 0 0 0 399 60 2 0 2 "FTL"
"ENSG00000087191" 61 0 0 0 0 0 61 0 0 0 0 0 61 37 0 0 0 "PSMC5"
"ENSG00000087302" 125 4 0 2 0 0 125 6 0 3 0 0 125 33 0 0 0 "C14orf166"
"ENSG00000087365" 100 2 0 0 0 0 100 3 0 3 0 0 100 29 0 0 0 "SF3B2"
"ENSG00000087460" 227 4 0 0 0 0 227 0 0 0 0 0 227 61 0 0 0 "GNAS"
"ENSG00000087470" 110 5 0 3 0 0 110 9 0 2 0 0 110 39 2 0 2 "DNM1L"
"ENSG00000087502" 103 4 0 0 0 0 103 0 0 0 0 0 103 26 0 0 0 "ERGIC2"
"ENSG00000087586" 112 0 0 0 0 0 112 3 0 0 0 0 112 28 0 0 0 "AURKA"
"ENSG00000087842" 157 2 0 0 0 0 157 4 0 0 0 0 157 64 0 0 0 "PIR"
"ENSG00000088205" 69 5 0 0 0 0 69 5 0 2 0 0 69 20 2 0 0 "DDX18"
"ENSG00000088325" 127 6 2 0 2 0 127 4 0 0 0 0 127 21 0 0 0 "TPX2"
"ENSG00000088766" 79 2 0 0 0 0 79 3 0 0 0 0 79 46 0 0 0 "CRLS1"
"ENSG00000088832" 68 0 0 0 0 0 68 0 0 0 0 0 68 32 2 0 0 "FKBP1A"
"ENSG00000088930" 75 9 0 0 0 0 75 0 0 0 0 0 75 21 0 0 0 "XRN2"
"ENSG00000088986" 119 6 0 3 0 0 119 8 3 0 0 0 119 41 0 0 0 "DYNLL1"
"ENSG00000089009" 308 9 0 0 0 0 308 0 0 0 0 0 308 61 0 0 2 "RPL6"
"ENSG00000089022" 55 0 0 0 0 0 55 3 0 0 0 0 55 28 0 0 2 "MAPKAPK5"
"ENSG00000089157" 326 6 0 0 0 0 326 6 0 2 0 0 326 70 4 0 0 "RPLP0"
"ENSG00000089220" 79 2 0 0 0 0 79 0 0 0 0 0 79 42 0 0 2 "PEBP1"
"ENSG00000089685" 63 0 0 0 0 0 63 0 0 0 0 0 63 49 2 0 0 "BIRC5"
"ENSG00000090013" 50 0 0 0 0 0 50 0 0 0 0 0 50 33 0 0 0 "BLVRB"
"ENSG00000090060" 134 3 0 0 0 0 134 7 0 3 0 0 134 53 0 4 0 "PAPOLA"
"ENSG00000090266" 65 0 0 0 0 0 65 3 0 0 0 0 65 45 0 0 0 "NDUFB2"
"ENSG00000090273" 123 3 0 0 0 0 123 4 0 0 0 0 123 42 0 0 0 "NUDC"
"ENSG00000090520" 117 0 0 0 0 0 117 3 0 0 0 0 117 65 0 0 0 "DNAJB11"
"ENSG00000090861" 96 2 0 0 0 0 96 2 0 0 0 0 96 46 0 0 4 "AARS"
"ENSG00000091140" 68 4 0 0 0 0 68 6 0 2 0 0 68 20 0 0 0 "DLD"
"ENSG00000091164" 78 6 0 5 0 0 78 7 3 0 0 0 78 31 0 0 0 "TXNL1"
"ENSG00000091483" 107 2 0 0 0 0 107 0 0 0 0 0 107 42 0 0 0 "FH"
"ENSG00000091527" 74 0 0 0 0 0 74 0 0 0 0 0 74 31 0 2 0 "CDV3"
"ENSG00000091542" 90 0 0 0 0 0 90 5 2 2 0 0 90 51 2 0 0 "ALKBH5"
"ENSG00000092199" 296 7 0 2 0 0 296 11 2 4 0 0 296 108 0 3 0 "HNRNPC"
"ENSG00000092201" 172 2 0 0 0 0 172 7 0 2 0 0 172 30 0 0 2 "SUPT16H"
"ENSG00000092621" 128 2 0 0 0 0 128 5 2 0 0 0 128 61 0 0 0 "PHGDH"
"ENSG00000092820" 137 4 0 0 0 0 137 9 0 4 0 0 137 42 2 2 0 "EZR"
"ENSG00000092841" 250 3 0 0 0 0 250 8 0 2 0 0 250 89 0 0 2 "MYL6"
"ENSG00000093000" 85 6 0 3 0 0 85 2 0 0 0 0 85 29 0 0 0 "NUP50"
"ENSG00000093010" 89 4 0 0 0 0 89 0 0 0 0 0 89 43 0 0 2 "COMT"
"ENSG00000093144" 84 0 0 0 0 0 84 5 0 3 0 0 84 40 0 0 0 "ECHDC1"
"ENSG00000094804" 93 2 0 0 0 0 93 3 0 0 0 0 93 28 0 0 0 "CDC6"
"ENSG00000094916" 221 4 0 0 0 0 221 3 0 0 0 0 221 43 0 0 0 "CBX5"
"ENSG00000095380" 45 0 0 0 0 0 45 2 0 0 0 0 45 30 0 0 0 "NANS"
"ENSG00000096384" 253 15 0 7 0 0 253 6 0 3 0 0 253 41 0 0 4 "HSP90AB1"
"ENSG00000097033" 68 5 0 2 0 0 68 3 0 0 0 0 68 29 0 0 0 "SH3GLB1"
"ENSG00000099194" 169 0 0 0 0 0 169 7 0 5 0 0 169 54 2 0 0 "SCD"
"ENSG00000099204" 105 2 0 0 0 0 105 4 0 2 0 0 105 24 0 2 0 "ABLIM1"
"ENSG00000099341" 134 3 0 0 0 0 134 5 0 0 0 0 134 71 0 0 2 "PSMD8"
"ENSG00000099624" 68 2 0 0 0 0 68 4 0 0 0 0 68 39 0 0 0 "ATP5D"
"ENSG00000099783" 76 0 0 0 0 0 76 7 0 2 0 0 76 27 2 0 0 "HNRNPM"
"ENSG00000099797" 74 0 0 0 0 0 74 4 0 0 0 0 74 26 2 0 0 "TECR"
"ENSG00000099800" 52 0 0 0 0 0 52 3 0 0 0 0 52 28 0 0 0 "TIMM13"
"ENSG00000099810" 114 3 0 0 0 0 114 4 0 0 0 0 114 56 2 0 5 "MTAP"
"ENSG00000099875" 59 3 0 2 0 0 59 2 0 0 0 0 59 28 0 0 0 "MKNK2"
"ENSG00000099901" 172 8 0 3 0 0 172 9 2 3 0 0 172 82 0 0 2 "RANBP1"
"ENSG00000100028" 77 4 0 0 0 0 77 2 0 0 0 0 77 34 0 0 0 "SNRPD3"
"ENSG00000100030" 122 6 0 3 0 0 122 4 0 0 0 0 122 44 0 0 0 "MAPK1"
"ENSG00000100075" 52 0 0 0 0 0 52 2 0 0 0 0 52 31 3 2 4 "SLC25A1"
"ENSG00000100097" 202 2 0 0 0 0 202 0 0 0 0 0 202 112 5 0 2 "LGALS1"
"ENSG00000100129" 149 3 0 0 0 0 149 3 0 0 0 0 149 30 2 0 0 "EIF3L"
"ENSG00000100138" 169 7 0 2 0 0 169 4 2 0 0 0 169 66 0 0 0 "NHP2L1"
"ENSG00000100142" 120 2 0 0 0 0 120 2 0 0 0 2 120 49 0 0 3 "POLR2F"
"ENSG00000100216" 121 5 0 0 0 0 121 5 0 0 0 0 121 59 3 0 0 "TOMM22"
"ENSG00000100225" 81 4 0 0 0 0 81 0 0 0 0 0 81 28 0 0 2 "FBXO7"
"ENSG00000100300" 57 0 0 0 0 0 57 0 0 0 0 0 57 35 0 0 0 "TSPO"
"ENSG00000100316" 200 2 0 0 0 0 200 2 0 0 0 0 200 29 0 0 0 "RPL3"
"ENSG00000100320" 83 7 2 3 0 0 83 0 0 0 0 0 83 24 0 0 0 "RBFOX2"
"ENSG00000100345" 243 5 0 0 0 0 243 5 0 2 0 0 243 43 0 0 6 "MYH9"
"ENSG00000100353" 114 4 0 2 0 0 114 3 0 0 0 0 114 37 0 0 0 "EIF3D"
"ENSG00000100380" 199 4 0 0 0 0 199 0 0 0 0 0 199 89 2 0 5 "ST13"
"ENSG00000100387" 93 2 0 2 0 0 93 7 0 0 0 2 93 61 0 0 2 "RBX1"
"ENSG00000100418" 58 0 0 0 0 0 58 6 0 0 0 0 58 29 0 0 0 "DESI1"
"ENSG00000100504" 90 2 0 0 0 0 90 2 0 2 0 0 90 27 0 0 0 "PYGL"
"ENSG00000100526" 70 2 0 0 0 0 70 4 0 0 0 0 70 32 0 0 0 "CDKN3"
"ENSG00000100528" 71 2 0 0 0 0 71 3 0 0 0 0 71 37 0 0 2 "CNIH1"
"ENSG00000100554" 65 0 0 0 0 0 65 5 0 2 0 0 65 30 0 0 0 "ATP6V1D"
"ENSG00000100567" 117 2 0 0 0 0 117 5 0 0 0 0 117 52 0 0 0 "PSMA3"
"ENSG00000100632" 85 3 0 0 0 0 85 7 0 4 0 0 85 30 0 0 0 "ERH"
"ENSG00000100644" 258 11 0 0 3 0 258 7 0 4 0 0 258 40 0 0 0 "HIF1A"
"ENSG00000100664" 194 3 0 0 0 0 194 4 0 0 0 0 194 47 2 0 0 "EIF5"
"ENSG00000100714" 136 3 0 0 0 0 136 6 0 2 0 0 136 29 2 0 0 "MTHFD1"
"ENSG00000100804" 91 0 0 0 0 0 91 8 0 0 0 0 91 46 0 0 0 "PSMB5"
"ENSG00000100811" 98 10 0 3 3 0 98 9 4 2 0 0 98 30 0 0 2 "YY1"
"ENSG00000100934" 81 3 0 2 0 0 81 7 0 0 0 0 81 27 0 0 0 "SEC23A"
"ENSG00000101132" 151 13 2 7 0 0 151 9 2 0 0 0 151 59 0 0 0 "PFDN4"
