"ensembl_gene_id" "external_gene_name" "description"
"1" "WBGene00000273" "brp-1" "Caenorhabditis elegans Protein BRP-1, isoform a. [Source:RefSeq mRNA;Acc:NM_001027780]"
"60" "WBGene00015572" "C07G1.6" "Caenorhabditis elegans Protein C07G1.6 (C07G1.6) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_068976]"
"61" "WBGene00015610" "C08F1.6" "Caenorhabditis elegans Protein C08F1.6 (C08F1.6) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_061677]"
"62" "WBGene00015692" "ugt-25" "Caenorhabditis elegans Protein UGT-25 (ugt-25) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_059037]"
"63" "WBGene00015695" "ugt-26" "Caenorhabditis elegans Protein UGT-26, isoform b (ugt-26) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001128946]"
"64" "WBGene00015908" "C17F3.3" "Caenorhabditis elegans Protein C17F3.3 (C17F3.3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_059516]"
"65" "WBGene00015954" "C18B2.3" "Caenorhabditis elegans Protein C18B2.3 (C18B2.3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076218]"
"66" "WBGene00016063" "delm-2" "Caenorhabditis elegans Protein C24G7.1 (C24G7.1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_058895]"
"67" "WBGene00016097" "C25E10.8" "Caenorhabditis elegans Protein C25E10.8 (C25E10.8) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_072944]"
"68" "WBGene00016219" "C29F9.4" "Caenorhabditis elegans Protein C29F9.4 (C29F9.4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_064745]"
"69" "WBGene00016332" "C32F10.4" "Caenorhabditis elegans Protein C32F10.4 (C32F10.4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_059286]"
"70" "WBGene00016523" "C39B5.5" "Caenorhabditis elegans Protein C39B5.5 (C39B5.5) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_065110]"
"71" "WBGene00016568" "C41G11.1" "Caenorhabditis elegans Protein C41G11.1, isoform b (C41G11.1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001038443]"
"72" "WBGene00016594" "C42D4.1" "Caenorhabditis elegans Protein C42D4.1 (C42D4.1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_068735]"
"73" "WBGene00016722" "C46G7.2" "Caenorhabditis elegans Protein C46G7.2 (C46G7.2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_068503]"
"74" "WBGene00016745" "C48B6.9" "Caenorhabditis elegans Protein C48B6.9 (C48B6.9) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_059574]"
"75" "WBGene00017093" "E02C12.8" "Caenorhabditis elegans Protein E02C12.8, isoform b (E02C12.8) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_073027]"
"76" "WBGene00017128" "E04F6.9" "Caenorhabditis elegans Protein E04F6.9 (E04F6.9) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_063102]"
"77" "WBGene00017265" "snpc-1.3" "Caenorhabditis elegans Protein F08F3.9, isoform a (F08F3.9) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001028601]"
"78" "WBGene00017384" "F11G11.4" "Caenorhabditis elegans Protein F11G11.4 (F11G11.4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_062475]"
"79" "WBGene00017386" "nspd-5" "Caenorhabditis elegans Protein NSPD-5 (nspd-5) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_062474]"
"80" "WBGene00017467" "F14F9.4" "Caenorhabditis elegans Protein F14F9.4 (F14F9.4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_071973]"
"81" "WBGene00017586" "F19B10.4" "Caenorhabditis elegans Protein F19B10.4 (F19B10.4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_062205]"
"82" "WBGene00018538" "F47B7.7" "Caenorhabditis elegans Protein F47B7.7, isoform b (F47B7.7) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001270076]"
"83" "WBGene00018566" "F47E1.2" "Caenorhabditis elegans Protein F47E1.2 (F47E1.2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077130]"
"84" "WBGene00018601" "F48C1.9" "Caenorhabditis elegans Protein F48C1.9 (F48C1.9) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_170862]"
"85" "WBGene00018643" "F49F1.1" "Caenorhabditis elegans Protein F49F1.1 (F49F1.1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_068084]"
"86" "WBGene00018725" "F53A9.2" "Caenorhabditis elegans Protein F53A9.2 (F53A9.2) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_077072]"
"87" "WBGene00019782" "M60.7" "Caenorhabditis elegans Protein M60.7 (M60.7) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076993]"
"88" "WBGene00020167" "T02G5.11" ""
"89" "WBGene00020195" "T03G6.3" "Caenorhabditis elegans Protein T03G6.3 (T03G6.3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076069]"
"90" "WBGene00020352" "T08B6.2" ""
"91" "WBGene00020377" "T09B4.3" "Caenorhabditis elegans Protein T09B4.3, isoform b (T09B4.3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001263185]"
"92" "WBGene00020394" "T10B5.8" "Caenorhabditis elegans Protein T10B5.8 (T10B5.8) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_071115]"
"93" "WBGene00020567" "T19D2.1" "Caenorhabditis elegans Protein T19D2.1 (T19D2.1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_076280]"
"94" "WBGene00020613" "T20D4.7" "Caenorhabditis elegans Protein T20D4.7 (T20D4.7) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_071553]"
"95" "WBGene00020638" "fbxa-43" "Caenorhabditis elegans Protein FBXA-43 (fbxa-43) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_065126]"
"96" "WBGene00020642" "T20H9.6" "Caenorhabditis elegans Protein T20H9.6 (T20H9.6) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_065121]"
"97" "WBGene00020715" "nspd-4" "Caenorhabditis elegans Protein NSPD-4 (nspd-4) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_062470]"
"98" "WBGene00020774" "T24E12.5" "Caenorhabditis elegans Protein T24E12.5 (T24E12.5) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_062240]"
"99" "WBGene00020841" "T27A3.5" "Caenorhabditis elegans Protein T27A3.5 (T27A3.5) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_059360]"
"100" "WBGene00020881" "T28A11.19" "Caenorhabditis elegans Protein T28A11.19 (T28A11.19) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_071499]"
"101" "WBGene00021310" "Y32H12A.1" "Caenorhabditis elegans Protein Y32H12A.1 (Y32H12A.1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_065744]"
"102" "WBGene00021633" "Y47G6A.3" "Caenorhabditis elegans Protein Y47G6A.3 (Y47G6A.3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_058782]"
"103" "WBGene00021977" "Y58A7A.3" "Caenorhabditis elegans Protein Y58A7A.3 (Y58A7A.3) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_071959]"
"104" "WBGene00021979" "Y58A7A.5" "Caenorhabditis elegans Protein Y58A7A.5 (Y58A7A.5) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_071961]"
"105" "WBGene00022327" "fbxa-15" "Caenorhabditis elegans Protein FBXA-15 (fbxa-15) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_064982]"
"106" "WBGene00022653" "ZK105.1" "Caenorhabditis elegans Protein ZK105.1 (ZK105.1) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_072596]"
"107" "WBGene00044206" "T26H5.9" "Caenorhabditis elegans Protein T26H5.9 (T26H5.9) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001028991]"
"108" "WBGene00044379" "F40H7.12" "Caenorhabditis elegans Protein F40H7.12 (F40H7.12) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001026980]"
"109" "WBGene00044393" "ZK1248.20" "Caenorhabditis elegans Protein ZK1248.20 (ZK1248.20) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001027327]"
"110" "WBGene00044472" "dct-8" "Caenorhabditis elegans Protein DCT-8 (dct-8) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001038323]"
"111" "WBGene00045416" "Y37H2A.14" "Caenorhabditis elegans Protein Y37H2A.14 (Y37H2A.14) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001269863]"
"112" "WBGene00086560" "ZK355.8" "Caenorhabditis elegans Protein ZK355.8 (ZK355.8) mRNA, complete cds. [Source:RefSeq mRNA;Acc:NM_001136360]"
