Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression WT	Expression A	Expression B	Expression C	qValue WT vs A	qValue WT vs B	qValue WT vs C	qValue A vs B	qValue A vs C	qValue B vs C
	11786	11382		-	yaaI	b0013	putative enzyme; Not classified	8	2	6	3	8.423922082071395E-34	1.0	1.1218137299668575E-4	5.493900275291478E-19	1.7734888086110603E-4	0.004244921941668098
12060	12163	14079	14079	+	dnaK	b0014	factor; Chaperones	4364	3996	2466	3030	0.4455304467555611	0.10273757544052424	2.4389141406754066E-5	0.02373095849067305	3.0109137319116717E-4	0.41605145205047
14086	14168	15298	15343	+	dnaJ	b0015	factor; Chaperones	543	524	469	589	2.1401328316012584E-4	1.0	0.22205122253078913	0.009791264109486624	0.010707328872712715	0.7054095122853287
	15445	16557		+	insL1	b0016	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	61	47	55	51	3.881319335124374E-12	1.0	0.003974339280515511	3.569154702457925E-9	7.874747720242234E-4	0.026349695151031267
	16960	16751		-	mokC	b0018	component of addiction module	34	32	31	31	3.342306040053784E-7	1.0	0.004255273807059583	4.769966156964912E-6	0.06200198839788907	0.01040963381490164
	16903	16751		-	hokC	b4412	component of addiction module	37	34	29	33	4.543798938630055E-6	1.0	0.009335670514281913	6.700781206377987E-4	0.09105087938037709	0.059084234382964965
17453	17489	18655	18656	+	nhaA	b0019	transport; Transport of small molecules: Cations	306	411	365	310	0.7713331445477994	0.39291513595341476	0.6491534807273742	0.03297384734730334	0.4188425145659821	0.015714811337950187
	18715	19620		+	nhaR	b0020	regulator; Transport of small molecules: Cations	80	97	119	86	0.09878774940964376	0.08051808366413862	0.4097044728321828	1.480311249584195E-8	0.5531602465653321	5.80201402813517E-5
	20314	19811		-	insB1	b0021	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	28	29	47	31	2.754404638388255E-7	1.0	0.007550473301051271	4.354308158260196E-19	0.0035191673148953647	7.105064954546889E-6
	20508	20233		-	insA	b0022	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	14	13	26	17	1.0611385016850502E-4	0.9713459511580462	0.06835396969077193	1.679386041822051E-14	0.0014068030694225542	4.692576251203754E-4
21103	21078	20815	20815	-	rpsT	b0023	structural component; Ribosomal proteins - synthesis, modification	771	861	1181	891	0.09620696433818869	4.827046957322408E-5	0.5422189334059395	1.1433507883059647E-14	0.01569310455749937	2.6414376981201757E-5
	21181	21399		+	yaaY	b0024	structural component; Ribosomal proteins - synthesis, modification	53	49	69	54	2.0111894484878334E-9	1.0	0.005422901900707223	1.2729945929909367E-15	2.507234565239428E-4	4.24145397157325E-4
21402	21407	22348	22379	+	ribF	b0025	putative regulator; Not classified	237	250	223	217	0.010359050867147876	1.0	0.14814641924916533	0.044954633706018224	0.5277246981732259	0.3195989797927212
22380	22391	25207		+	ileS	b0026	enzyme; Aminoacyl tRNA synthetases, tRNA modification	466	453	467	604	9.946930325101312E-7	1.0	0.5964640839743587	1.101766963001805E-8	2.029036543926338E-8	0.1004561791249376
	25207	25701	25712	+	lspA	b0027	enzyme; Protein, peptide secretion	315	309	321	324	5.468700715294377E-4	1.0	0.7331430419252596	2.8871535624759022E-5	0.0032013895373306255	0.31563179022488286
	25826	26275		+	fkpB	b0028	putative enzyme; Proteins - translation and modification	164	148	161	137	1.0315481743128703E-6	1.0	0.003479505439438645	1.8972798190722186E-6	0.22379768379290618	0.0048040705297154405
	26277	27227		+	ispH	b0029	putative enzyme; Proteins - translation and modification	120	106	109	104	6.134579374011484E-7	1.0	0.12307782618176781	2.8049421240238595E-5	0.007353681920088728	0.2910144884253684
	27293	28207		+	rihC	b0030	putative enzyme; Proteins - translation and modification	19	11	20	15	1.4334890726039516E-20	1.0	3.362008874374915E-4	1.3612094371195973E-24	1.588443428591635E-7	1.6831368037484233E-4
	28374	29195		+	dapB	b0031	enzyme; Amino acid biosynthesis: Lysine	72	73	61	70	4.418680357581093E-5	1.0	0.028678229168469755	0.007177833533710238	0.13198378446884845	0.2752203478176453
	29651	30799		+	carA	b0032	enzyme; Pyrimidine ribonucleotide biosynthesis	100	38	58	50	1.665932549118766E-78	0.01895938917172519	1.3888272371274326E-14	1.1209515969863893E-19	1.5345651557138557E-8	0.006080830157948643
	30817	34038		+	carB	b0033	enzyme; Pyrimidine ribonucleotide biosynthesis	179	44	46	33	2.4007824281161856E-297	3.34485938870401E-77	3.0268555946606976E-236	2.021051237891317E-5	0.5553092857865921	1.0557097543208751E-4
	34300	34695		+	caiF	b0034	regulator; Central intermediary metabolism: Pool, multipurpose conversions	33	18	27	18	1.8813677831886874E-22	1.0	2.287195217546147E-7	2.7315564738642923E-15	0.017510202403469042	3.3027905640266096E-5
	35371	34781	34781	-	caiE	b0035	putative enzyme; Central intermediary metabolism: Pool, multipurpose conversions	10	3	7	3	1.0947882071269578E-30	1.0	3.360431897753699E-12	3.611047907746464E-15	0.29309265496864434	2.8684744141720136E-6
	36162	35377		-	caiD	b0036	enzyme; Degradation of small molecules: Amines	6	0	6	1	2.297022250636686E-191	1.0	1.9420849568709022E-10	1.643469585802236E-179	1.2963751305057378E-10	1.0622064362046932E-9
	37824	36271		-	caiC	b0037	putative enzyme; Central intermediary metabolism: Pool, multipurpose conversions	13	4	10	4	1.909399460718301E-59	1.0	2.5364680748531164E-22	2.8588031368041963E-37	0.13911483552027573	1.3576100590822428E-13
	39115	37898	37898	-	caiB	b0038	enzyme; Central intermediary metabolism: Pool, multipurpose conversions	18	11	14	10	1.2104075622948976E-22	1.0	3.999714347857953E-8	1.0172595461113273E-11	0.0392232306829166	2.1182556270606524E-4
40386	40386	39244		-	caiA	b0039	putative regulator; Central intermediary metabolism: Pool, multipurpose conversions	37	37	38	35	1.042230332310326E-7	1.0	0.0018468229697432743	1.9477306788695284E-7	0.08294727216021175	0.0036687430176631686
	41931	40417		-	caiT	b0040	putative transport; Central intermediary metabolism: Pool, multipurpose conversions	8	1	7	1	4.560996713713678E-82	1.0	6.256522433813743E-37	5.595128370098339E-57	0.32746510372171367	1.363202567271603E-25
	42403	43173		+	fixA	b0041	putative enzyme; Energy metabolism, carbon: Electron transport	7	0	7	2	1.1475443888402057E-257	1.0	1.0332895406316246E-10	1.0474807581317087E-273	5.721466425739294E-15	3.572879832324951E-11
	43188	44129		+	fixB	b0042	putative enzyme; Energy metabolism, carbon: Electron transport	7	1	6	2	2.701987497209273E-51	1.0	4.381210561713089E-11	3.352060019614867E-35	0.003998369358898305	8.302106996373182E-8
	44180	45466		+	fixC	b0043	putative carrier; Energy metabolism, carbon: Electron transport	8	1	7	2	2.0794009085089078E-69	1.0	5.683548267372555E-20	6.327665147425363E-55	0.026581452321664346	8.256120007034511E-16
	45463	45750		+	fixX	b0044	putative carrier; Not classified	9	1	7	0	5.84066058123411E-134	1.0	0.0	1.832434361159281E-77	5.941731982333709E-10	0.0
	45807	47138		+	yaaU	b0045	putative transport; Not classified	9	1	7	1	6.974169420440035E-267	1.0	6.625279288885272E-68	1.621940482730719E-150	0.0615301732459671	3.928279106029608E-38
	47246	47776		+	kefF	b0046	putative enzyme; Not classified	23	22	26	25	4.6253692157343065E-9	1.0	0.01040207979853019	9.240460146010283E-11	4.3681137250747033E-5	0.0074759863635854434
	47769	49631		+	kefC	b0047	transport; Transport of small molecules: Cations	25	23	25	21	1.4016784954344142E-9	1.0	1.6159884356972294E-4	2.055517124624227E-8	0.13348617455434197	8.525084685226761E-4
49822	49823	50302	50379	+	folA	b0048	enzyme; Biosynthesis of cofactors, carriers: Folic acid	153	159	195	197	0.0016573515476786668	0.6728958163021846	0.4127390110763243	2.0981574621610642E-8	2.3228817295863153E-6	0.43350504843739857
	51222	50380		-	apaH	b0049	enzyme; Salvage of nucleosides and nucleotides	99	95	133	119	1.3154202722565146E-4	0.22304431689892082	0.5120326457631891	3.8540295250134963E-13	5.053710273264132E-7	0.10735688904264386
51606	51606	51229	51223	-	apaG	b0050	enzyme; Salvage of nucleosides and nucleotides	192	196	198	150	5.994935162628546E-4	1.0	6.524220923893098E-4	1.9315690200265645E-4	0.489782399217543	2.895154720514548E-4
	52430	51609	51607	-	rsmA	b0051	enzyme; rRNA modification; drug/analog sensitivity	234	241	224	208	0.024140339927047495	1.0	0.037137625271511564	0.05487240459756929	0.88415939015864	0.07640540860387475
	53416	52427		-	pdxA	b0052	enzyme; Biosynthesis of cofactors, carriers: Pyridoxine	154	168	197	204	0.10310996245220899	0.034933461547458654	0.006698451837123133	1.1963101153760197E-7	8.711268832160604E-7	0.7425724948315375
54725	54702	53416		-	surA	b0053	phenotype; Not classified	481	515	554	698	0.005930520033460006	0.8168105941728506	0.5758473944677298	4.727462376641156E-6	1.0253455346180122E-5	0.2492535008246717
57122	57109	54755	54755	-	lptD	b0054	phenotype; Adaptations, atypical conditions	365	382	332	369	0.001254782318175037	1.0	0.019840831398398897	0.002858565338306621	0.528783003318723	0.03167976898702296
	57364	58179		+	djlA	b0055	phenotype; Not classified	38	29	37	35	1.0697051088049367E-10	1.0	0.0013197214984665775	1.1537091776227073E-9	9.654808020575528E-4	0.004919182147599811
	58474	59269		+	yabP	b4659	phenotype; Not classified	22	15	18	12	4.257019942388863E-17	1.0	4.2775842057201877E-8	9.962777164053922E-12	0.2936763583130307	1.4537452322657587E-5
60346	60346	59687		-	rluA	b0058	enzyme; rRNA modification; tRNA modification	122	113	131	130	2.2044789396461644E-5	1.0	0.520743971642482	5.105764475007084E-7	2.8682681182276267E-4	0.2285413050427641
63423	63264	60358	60347	-	rapA	b0059	putative enzyme; RNA synthesis, modification, DNA transcription	150	125	142	161	2.7059988327722446E-7	1.0	0.7422847677264018	1.7172791042708272E-6	5.766483112371641E-7	0.8478957303455054
	65780	63429	63429	-	polB	b0060	enzyme; DNA - replication, repair, restriction/modification	45	50	66	64	0.08395926907309403	7.41576807863547E-4	0.004948590240505261	1.3515818403751974E-12	6.317476230141753E-8	0.14917934188160792
66897	66550	65855	65839	-	araD	b0061	enzyme; Degradation of small molecules: Carbon compounds	12	1738	948	1031	0.0	0.0	0.0	0.5126845646343723	4.2172852304503485E-5	0.06072117349133494
66898			66915	?	-	predicted RNA	-	0	1518	1023	1046	1.0	1.0	1.0	0.010174028857867182	0.31974838384535953	0.009027018219497904
67362			67433	?	-	predicted RNA	-	1	2933	2314	2444	1.0	1.0	1.0	0.9272948359561948	0.7231539577996654	0.6941686146996853
68644	68644	67455	67434	-	ispDF	ispDF	enzyme; Degradation of small molecules: Carbon compounds	28	4138	3042	3569	0.0	0.0	0.0	0.8199653203589631	0.20009597142781577	0.39854020742635377
68645			68690	?	-	predicted RNA	-	5	6641	4843	5019	0.0	0.0	0.0	0.5222715661621142	0.13753989457172988	0.49822690973799305
69245	69245	68697	68691	-	Bs.idi	Bs.idi	enzyme; Degradation of small molecules: Carbon compounds	28	3932	2995	3418	0.0	0.0	0.0	9.50253836674447E-4	0.4076909327549334	0.03486464161937346
71182	71129	69267	69246	-	Ec.dxs	Ec.dxs	enzyme; Degradation of small molecules: Carbon compounds	41	3800	3166	3740	0.0	0.0	0.0	0.1295778676873426	0.31045851472797825	0.5630017043979948
71183			71209	?	-	predicted RNA	-	0	3226	2968	3119	1.0	1.0	1.0	0.007693810298750468	0.10402926166082159	0.40148542187685815
73208	73208	71508	71497	-	araB	b0063	enzyme; Degradation of small molecules: Carbon compounds	11	221	288	288	2.2507611315408183E-175	0.0	0.0	2.2216706978325321E-10	7.049538858029267E-7	0.16463730475600788
	73547	74425		+	araC	b0064	regulator; Degradation of small molecules: Carbon compounds	41	49	50	43	6.403571486583365E-5	1.0	0.006769067638503974	4.1998852418192683E-7	0.43314341393277056	6.695036178225495E-4
	74511	75275		+	yabI	b0065	regulator; Degradation of small molecules: Carbon compounds	65	92	98	85	0.0848294320296261	0.8815895417370847	0.4668759324734114	1.2381125446527475E-5	0.3121912922108008	0.006810296451445681
	76087	75389		-	thiQ	b0066	putative transport; Not classified	20	15	26	20	1.6703425907557668E-13	1.0	0.005105162343540186	2.259310453000802E-22	4.221214771471657E-8	4.7714904140453546E-4
	77681	76071		-	thiP	b0067	putative transport; Not classified	11	5	12	4	4.3223278854826485E-35	1.0	2.23976750017553E-16	2.3067887741678168E-38	0.4517251886176723	1.1129277637928242E-17
	78640	77657		-	thiB	b0068	putative transport; Transport of small molecules: Other	19	12	19	12	1.8188055315781855E-18	1.0	3.568762422329663E-6	2.744130593654894E-18	0.012884803908548334	7.915974065268118E-6
	80459	78804	78804	-	sgrR	b0069	transport; Not classified	20	15	21	16	2.0915952496687032E-11	1.0	1.6212846750972442E-4	1.93766897887002E-12	0.016829005921703968	1.4191284050567407E-4
80527			80753	+	sgrS	b4577	-	105	380	336	398	0.03850932186972985	0.09168760828054015	0.002057869789546085	0.019677522562803727	0.00795567573418884	0.9273313238998272
	80548	80679	80721	+	sgrT	b4662	transport; Not classified	122	461	426	503	0.2806686183757068	0.24913883193049235	0.031487450132656844	4.813651824475139E-4	0.003480051904422888	0.39816844041310273
	80781	81959		+	setA	b0070	putative transport; Not classified	19	16	24	17	7.673826882661403E-9	1.0	0.0012060038563706265	3.707459819922123E-14	0.015065535966520558	4.074543512884574E-5
82613	82613	82008		-	leuD	b0071	enzyme; Amino acid biosynthesis: Leucine	59	74	118	142	3.6053246477797945E-4	0.4595438366213758	0.03315899665335843	2.4951714396645546E-21	8.898194286795033E-31	0.9807992116452598
84026	84024	82624	82619	-	leuC	b0072	enzyme; Amino acid biosynthesis: Leucine	50	59	110	146	0.053929704549009375	6.890757142153308E-9	4.63741037840767E-22	1.323203312940796E-31	7.518006238787791E-66	0.040194607008868295
	85118	84027		-	leuB	b0073	enzyme; Amino acid biosynthesis: Leucine	43	46	78	117	1.1841315280418447E-5	0.2477348083014696	2.6983260270341457E-6	9.58963293924646E-26	1.6463034369286446E-71	0.017354872364913124
	86689	85118		-	leuA	b0074	enzyme; Amino acid biosynthesis: Leucine	39	36	40	49	4.371027961487774E-7	1.0	0.8378929582847624	4.1752836119276886E-7	2.953060590002245E-9	0.8833930431368138
	86868	86782		-	leuL	b0075	leader; Amino acid biosynthesis: Leucine	14	24	39	12	0.29337977308352825	0.2448162199866786	0.030123966659810788	1.4561736120087332E-7	0.14942492876528216	3.799780425684329E-8
	87528	88472		+	leuO	b0076	putative regulator; Amino acid biosynthesis: Leucine	12	8	8	5	2.527651808833747E-14	0.9882941003599028	8.053702053325376E-9	7.319789674667902E-7	0.8054295935437275	1.9898198373444068E-4
	88790	90514	90514	+	ilvI	b0077	enzyme; Amino acid biosynthesis: Isoleucine, Valine	26	13	18	14	2.8506588774236877E-30	0.9882941003599028	6.645588615818507E-10	1.9426252371663205E-12	0.004293463313901995	3.918899361322262E-4
	90517	91008		+	ilvH	b0078	enzyme; Amino acid biosynthesis: Isoleucine, Valine	26	14	17	15	1.5279178191108643E-22	0.9461214927222878	3.506552796338056E-7	1.8327902295307134E-9	0.010918310671324555	0.0019057085083185115
91160	91188	92192	92300	+	cra	b0080	regulator; Energy metabolism, carbon: Glycolysis	186	186	161	184	0.010776466822836585	0.9548636037983345	0.5351909394067692	0.27204355764926447	0.09943291522468843	0.640377212967474
	92794	93252	93252	+	mraZ	b0081	regulator; Energy metabolism, carbon: Glycolysis	152	181	175	148	0.05346238778528465	1.0	0.05958735936610024	0.0020697732024983493	0.7462183631952604	0.004284349501946684
93253	93254	94195		+	rsmH	b0082	enzyme; rRNA modification	157	186	145	151	0.735764580238012	1.0	0.35262972334526205	0.9707306410432908	0.4902533261110773	0.5731653340255138
	94192	94557	94572	+	ftsL	b0083	phenotype; Cell division	158	186	141	181	0.0027764654070049632	1.0	0.21129388851047048	0.05514779066743024	0.09008753881103813	0.6896341447258623
	94573	96339		+	ftsI	b0084	enzyme; Cell division	84	124	129	119	0.020073443495300825	8.393809342643613E-6	6.387332978072473E-4	1.7483764303575635E-4	0.1072383813782913	0.09868716488514957
	96326	97813		+	murE	b0085	enzyme; Murein sacculus, peptidoglycan	183	256	203	256	0.3457374946451261	0.6808126200968808	0.01026956655831596	0.29899111568756825	0.03861539660473622	0.46587244828000024
	97810	99168		+	murF	b0086	enzyme; Murein sacculus, peptidoglycan	200	261	192	246	0.8636733987786219	1.0	0.24658357223046604	0.9838346946743983	0.24100510120055949	0.3370337510307157
	99162	100244	100244	+	mraY	b0087	enzyme; Murein sacculus, peptidoglycan	233	306	217	249	0.7321633250934925	1.0	0.5903964888800968	0.447468555238781	0.3319807480017671	0.8751670998085784
100245	100247	101563		+	murD	b0088	enzyme; Murein sacculus, peptidoglycan	231	300	248	326	0.9209974498759073	0.9235308902341433	0.012707612955555798	0.161089965754154	0.004033906434633811	0.32123265338144197
	101563	102807		+	ftsW	b0089	membrane; Cell division	179	229	160	192	0.9541819711862224	1.0	0.8262356494789083	0.2132377679596424	0.7711653480046124	0.4707355726542114
	102804	103871	103871	+	murG	b0090	enzyme; Murein sacculus, peptidoglycan	281	362	278	316	1.0	1.0	0.7604805521918	0.5242266026949955	0.7392538512313531	0.8368066700967661
103872	103925	105400		+	murC	b0091	enzyme; Murein sacculus, peptidoglycan	223	273	232	264	0.5851024595819084	1.0	0.34178672673107485	0.09407365501219617	0.09587112410440884	0.9785535779730477
	105393	106313	106314	+	ddlB	b0092	enzyme; Murein sacculus, peptidoglycan	372	445	407	431	0.4341575936048385	0.8923228411998155	0.4641184057910876	0.01943798472942596	0.10076176354333649	0.5936100188370983
106315	106315	107145		+	ftsQ	b0093	phenotype; Cell division	325	387	311	336	0.4595727942779006	1.0	0.3578375630938632	0.40658337305564735	0.7677336625491045	0.332908645706217
	107142	108404	108419	+	ftsA	b0094	phenotype; Cell division	225	270	196	225	0.46158405695010446	1.0	0.19591980363298983	0.7785033183693228	0.4671915313369496	0.7202173136075112
108429	108465	109616	109676	+	ftsZ	b0095	enzyme; Cell division	713	760	682	828	0.0022949175834531405	1.0	0.19854110729311195	0.0012420766128748656	0.05780394695809349	0.11774483559051636
109677			109694	?	-	predicted RNA	-	1859	1823	1499	1414	8.336399892924766E-8	1.0	4.108877690010304E-5	1.3869922447801934E-4	0.9097069658073398	0.004218698821564841
109695	109717	110634	110634	+	lpxC	b0096	enzyme; Surface polysaccharides & antigens	1848	2970	1863	1786	0.8062303595572731	1.0	0.0014513961530929211	0.2993305770143062	9.569564852852994E-8	8.514695501587392E-5
110639	110865	111377	111438	+	secM	b0097	enzyme; Surface polysaccharides & antigens	198	194	172	164	1.888178072098133E-4	1.0	0.01441793853443911	0.009894675786867601	0.5999880633836577	0.12249157039609823
111439	111439	114144	114148	+	secA	b0098	transport; Protein, peptide secretion	141	114	129	167	1.2995707428004705E-7	1.0	0.5125353425266369	3.0496409547675327E-6	4.3063181036914265E-11	0.4290500629143104
	114204	114593		+	mutT	b0099	enzyme; 2'-Deoxyribonucleotide metabolism	17	13	24	19	6.012768787221258E-9	1.0	0.01548553626349042	6.741224141537161E-17	3.412890834256787E-6	5.937310640005096E-5
115006	115006	114809		-	yacG	b0101	enzyme; 2'-Deoxyribonucleotide metabolism	59	53	70	62	2.0111894484878334E-9	1.0	0.008582780147841978	3.280248193804477E-13	3.91770134174037E-5	0.0024809877517482882
	115759	115016		-	zapD	b0102	enzyme; 2'-Deoxyribonucleotide metabolism	60	53	61	52	9.970718747594265E-11	1.0	2.786018144396373E-4	3.250044456431696E-10	0.029235454745895166	7.668075553288449E-4
	116379	115759		-	coaE	b0103	orf; Not classified	43	40	41	43	1.1495815348384959E-7	1.0	0.002964551455489536	2.0858239374611683E-6	0.018261928008652794	0.014714271114945178
	116604	117647		+	guaC	b0104	enzyme; Purine ribonucleotide biosynthesis	74	59	65	54	7.372887946165755E-10	1.0	1.1821895264877954E-4	5.932606054051561E-7	0.21158382494710473	0.0030162700329061628
	118884	117682		-	hofC	b0106	putative transport; Not classified	12	5	12	4	2.6268918428545314E-33	1.0	4.4778717635143725E-14	2.6308222833889884E-32	0.29694302597672945	1.3397723101830965E-13
	120259	118874		-	hofB	b0107	putative transport; Not classified	19	11	17	11	2.5516568941532285E-20	1.0	1.7799427258474863E-8	1.6992287973038675E-16	0.10190685682519303	9.905982787842208E-7
	120709	120269		-	ppdD	b0108	putative enzyme; Not classified	11	3	10	2	1.4674981957521795E-35	1.0	1.5923211112484162E-14	5.6139127564468825E-34	0.5448671790144695	9.393244477403393E-14
	121805	120912		-	nadC	b0109	enzyme; Biosynthesis of cofactors, carriers: Pyridine nucleotide	76	66	41	37	9.562848725303355E-8	0.2962475953888943	7.82212720207989E-15	0.22172173207555906	1.8919992750578995E-4	0.0020129980550475488
	121893	122444		+	ampD	b0110	regulator; Not classified	108	113	80	73	9.005803653708962E-5	0.875787438617272	2.5666573890392914E-7	0.10970748783497407	0.013378548779924325	0.003945384901967273
	122441	123295		+	ampE	b0111	regulator; Drug/analog sensitivity	112	106	90	87	8.647191385707863E-5	0.943128631682689	8.091859050835465E-4	0.03751452992264569	0.9086213308572915	0.07477184549214366
	124711	123338	123338	-	aroP	b0112	transport; Transport of small molecules: Amino acids, amines	50	53	55	45	0.0013880990773665956	1.0	0.015584307421857185	9.946943066695084E-5	0.8307044923353485	0.002998777717037729
125213	125252	126016	126117	+	pdhR	b0113	regulator; Energy metabolism, carbon: Pyruvate dehydrogenase	183	281	186	189	0.0030417050885092156	1.0	0.8556325303822379	0.050569732250941565	0.00176434611580689	0.3994013157411583
126140			126167	?	-	predicted RNA	-	976	1355	625	506	3.593475297091554E-4	0.9721529860617034	1.131162979891326E-9	0.2604183725529334	1.2286915867184651E-10	6.597415936115624E-4
126168	126177	128840	128846	+	aceE	b0114	enzyme; Energy metabolism, carbon: Pyruvate dehydrogenase	1187	1428	882	887	0.2721023172927814	0.4527466367125543	1.1275938618468866E-7	0.24870297182210543	2.5447743708052236E-8	0.005581561807129677
128855	128855	130747	130747	+	aceF	b0115	enzyme; Energy metabolism, carbon: Pyruvate dehydrogenase	1904	2230	1585	1366	0.056032629883677326	0.6728958163021846	1.65754683419778E-9	0.9322404102514	5.1632666300933165E-9	2.955135861365718E-5
130890	131072	132496	132496	+	lpd	b0116	enzyme; Energy metabolism, carbon: Pyruvate dehydrogenase	982	942	708	608	1.7021140556817644E-7	0.9842487796320103	1.9030804404470747E-12	0.00493707919573657	0.001347998139593449	1.853288869573014E-5
	134420	132567		-	yacH	b0117	putative membrane; Not classified	15	11	18	13	1.6236337879672653E-12	1.0	3.061856927732653E-4	2.2687609518271966E-17	0.0015656664747992412	3.327462766351423E-5
134722	134775	137372	137401	+	acnB	b0118	enzyme; Energy metabolism, carbon: TCA cycle	395	327	288	393	4.464735396372585E-8	0.885467276205402	0.009407534121606472	0.003039716574586413	0.002738610263514511	0.4977463257902239
137527	137548	137910	137910	+	yacL	b0119	enzyme; Energy metabolism, carbon: TCA cycle	278	339	334	387	0.4429241256494518	0.3809440552263731	0.012869899606693646	0.0012204629308618143	9.132444970483879E-5	0.7181799029026038
138742	138742	137948	137911	-	speD	b0120	enzyme; Central intermediary metabolism: Polyamine biosynthesis	225	163	175	170	5.011480307835255E-14	0.2735987881395816	3.240951136239654E-4	1.7093462744948737E-5	0.00585161052034899	0.2340303888894677
139695	139624	138758	138743	-	speE	b0121	enzyme; Central intermediary metabolism: Polyamine biosynthesis	232	167	171	167	4.423265910051955E-16	0.05911577191424548	9.90102200093147E-6	6.896190536915197E-5	0.018439703444721775	0.210415144378104
	140077	139730		-	yacC	b0122	enzyme; Central intermediary metabolism: Polyamine biosynthesis	113	127	142	119	1.217849173160952E-5	1.0	0.010730905322985306	6.535574495615251E-9	0.12130767725107254	5.907515262151384E-4
140234	140243	141793	141831	+	cueO	b0123	enzyme; Central intermediary metabolism: Polyamine biosynthesis	59	66	192	275	0.015608182864769971	1.5846572800494987E-47	4.754692827319734E-117	7.925483679160087E-134	0.0	0.07032618008132839
	144385	141995		-	gcd	b0124	enzyme; Degradation of small molecules: Carbon compounds	85	133	96	96	0.0074278966793962465	0.7115331873217888	0.6396909730591308	0.5096751994993368	0.04651927493467131	0.30226116484267673
144541	144591	145127	145167	+	hpt	b0125	enzyme; Salvage of nucleosides and nucleotides	171	180	193	166	0.0027272421275289648	0.9662329905203284	0.2666665216846669	6.147450227535618E-6	0.13702305166571643	0.02227758599521095
	145830	145168		-	can	b0126	enzyme; Central intermediary metabolism: Pool, multipurpose conversions	171	169	147	124	0.0010198637519818888	1.0	1.9423779724364254E-4	0.041329926406901904	0.24564464241740455	0.009395630274775291
	145939	146865		+	yadG	b0127	putative transport; Not classified	85	85	64	51	7.031103977375225E-4	0.9244870836436554	1.6443417199135055E-8	0.15933156052033703	8.124658221952981E-4	5.469683222579163E-4
	146862	147632		+	yadH	b0128	putative transport; Not classified	97	105	95	94	0.006167992236497069	1.0	0.08700361416891692	0.00855037472919452	0.528783003318723	0.10638851425794618
	147737	148177		+	yadI	b0129	putative transport; Not classified	29	26	39	31	1.5212144552777797E-9	1.0	0.010112396164906124	6.219202107564362E-17	1.3742434107249357E-5	7.144793373387749E-4
