"control1"	"control2"	"control3"	"control4"	"control5"	"ckd1"	"ckd2"	"ckd3"	"ckd4"	"ckd5"	"aki1"	"aki2"	"aki3"	"aki5"
"hsa-miR-1246"	138	155	297	296	146	132	806	472	1377	84	458	414	251	323
"hsa-miR-1247-3p"	209	69	28	69	72	74	55	46	740	89	8	229	11	17
"hsa-miR-1247-5p"	729	739	363	1257	499	643	503	840	2976	1998	142	5023	60	371
"hsa-miR-1249-3p"	340	195	250	597	255	187	754	1492	349	535	443	451	125	404
"hsa-miR-1251-5p"	34	31	2	18	35	62	29	0	90	124	0	0	0	3
"hsa-miR-1254"	11	15	13	50	12	29	25	41	448	27	50	35	0	32
"hsa-miR-125a-3p"	504	328	308	921	433	485	553	2062	4279	677	358	474	79	481
"hsa-miR-125a-5p"	267519	362849	175018	572999	318174	393841	519600	1213325	2806863	518810	292601	552343	63430	522356
"hsa-miR-125b-1-3p"	221	269	579	770	229	353	2413	1055	5277	540	1736	1565	155	854
"hsa-miR-125b-2-3p"	5138	7085	5103	8232	4893	5401	13740	11327	35775	9357	2151	4890	829	6814
"hsa-miR-125b-5p"	64349	82675	66989	247600	118961	103007	379531	282143	845917	190026	97539	225677	19457	152739
"hsa-miR-126-3p"	3992	4839	3779	9131	7456	8799	28035	12926	88837	22791	3299	5302	656	15091
"hsa-miR-126-5p"	922	925	1116	2297	2674	1876	47728	4221	15982	7286	1026	971	139	2788
"hsa-miR-1260a"	820	4316	4748	15086	13033	663	10299	31594	52505	24983	34718	13970	790	12546
"hsa-miR-1260b"	8104	3796	4730	13822	11438	8932	10188	27073	49566	21748	36574	13529	4944	12129
"hsa-miR-1262"	22	16	8	13	26	31	72	38	119	32	6	0	4	9
"hsa-miR-1266-5p"	32	23	19	24	14	15	22	72	175	20	15	17	13	27
"hsa-miR-1268a"	224	147	229	509	200	294	211	1124	599	288	231	183	55	238
"hsa-miR-1268b"	226	148	240	521	199	302	216	1186	601	286	236	178	53	238
"hsa-miR-1269a"	2166	236	415	538	3646	167	880	70	4446	444	24	73	89	569
"hsa-miR-1269b"	4	0	977	306	0	124	2368	2152	11	432	218	0	0	157
"hsa-miR-127-3p"	2664	3062	4227	11329	2051	2487	13675	5789	64512	6535	3564	8661	746	9206
"hsa-miR-127-5p"	14	6	21	24	8	7	83	14	150	16	7	25	2	30
"hsa-miR-1270"	131	287	103	277	238	325	267	183	1165	348	16	78	26	121
"hsa-miR-1271-5p"	20	28	26	61	25	30	100	125	301	52	26	42	12	53
"hsa-miR-1273g-3p"	6	5	11	15	9	6	7	29	142	15	28	21	21	0
"hsa-miR-1273h-3p"	10	21	326	183	6	16	136	91	302	24	344	265	37	151
"hsa-miR-1273h-5p"	2	0	50	31	0	6	28	11	49	4	60	56	17	31
"hsa-miR-1275"	187	92	90	282	150	212	215	728	402	245	345	290	71	294
"hsa-miR-128-1-5p"	85	75	179	130	58	75	172	189	378	87	163	133	63	165
"hsa-miR-128-3p"	1032	1223	1075	2019	2742	2725	3767	1383	21030	4625	2554	2328	226	1460
"hsa-miR-1285-3p"	160	115	108	296	145	108	491	226	824	141	220	157	63	272
"hsa-miR-1285-5p"	10	10	19	24	12	17	19	5	189	31	23	33	0	27
"hsa-miR-1287-5p"	15	27	15	44	29	47	110	67	257	92	11	74	3	28
"hsa-miR-129-1-3p"	179	131	106	295	255	114	69	673	3135	329	107	207	14	221
"hsa-miR-129-2-3p"	39	154	73	153	38	85	227	114	527	100	72	1296	12	49
"hsa-miR-129-5p"	436	392	311	570	348	263	222	672	4170	385	46	352	19	367
"hsa-miR-1292-5p"	11	5	4	16	6	22	16	17	113	31	21	30	0	18
"hsa-miR-1295a"	23	18	0	13	18	34	23	62	111	17	10	0	21	10
"hsa-miR-1296-5p"	503	927	268	1069	810	934	1524	1621	7705	1707	507	1758	80	826
"hsa-miR-1299"	0	22	135	82	72	30	49	180	11	777	7	26	6	32
"hsa-miR-1301-3p"	338	169	431	474	247	408	473	546	2700	694	482	510	69	250
"hsa-miR-1303"	130	110	137	179	218	179	71	171	838	432	252	133	18	78
"hsa-miR-1306-3p"	14	17	14	14	9	15	25	29	121	24	5	12	0	9
"hsa-miR-1306-5p"	130	117	62	182	113	126	153	1133	751	351	153	211	49	102
"hsa-miR-1307-3p"	2661	2394	4480	4920	2685	3080	3629	3279	26191	5079	3955	4043	689	2739
"hsa-miR-1307-5p"	165	208	210	291	330	229	356	227	1033	424	195	536	30	167
"hsa-miR-130a-3p"	7507	4944	6822	10527	7469	5141	41306	11255	75608	9489	2457	5491	985	8664
"hsa-miR-130b-3p"	133	219	1048	955	244	181	1354	413	4842	458	1142	686	284	501
"hsa-miR-130b-5p"	158	210	303	655	244	258	771	612	3654	551	807	734	118	913
"hsa-miR-132-3p"	886	2022	7040	9698	2269	2554	18292	5625	36912	4482	8165	4822	584	7330
"hsa-miR-132-5p"	19	45	95	261	75	83	361	99	997	132	76	52	12	110
"hsa-miR-133a-3p"	232	2198	373	1502	607	652	1423	494	8382	2541	255	1952	231	610
"hsa-miR-133b"	2	33	11	30	11	8	60	6	174	32	9	27	3	7
"hsa-miR-134-5p"	287	228	488	676	365	240	1287	453	6737	629	238	659	66	484
"hsa-miR-1343-3p"	29	45	17	80	65	44	66	82	490	88	57	103	3	64
"hsa-miR-135a-5p"	29	18	9	18	131	50	148	2	117	295	0	0	0	5
"hsa-miR-135b-5p"	9	2	5	22	20	6	326	19	78	41	7	11	0	16
"hsa-miR-136-3p"	13	6	28	57	37	19	537	39	665	69	15	34	7	44
"hsa-miR-138-1-3p"	126	146	99	145	81	227	110	91	1043	466	44	28	36	110
"hsa-miR-138-2-3p"	12	17	0	19	17	17	16	5	110	22	0	3	0	3
"hsa-miR-138-5p"	251	112	40	199	117	368	169	108	2245	1142	21	18	0	79
"hsa-miR-139-3p"	243	89	49	312	185	296	79	854	771	331	76	157	7	113
"hsa-miR-139-5p"	3346	3599	1263	4714	3736	4881	4941	7585	24660	9311	2481	5572	371	3392
"hsa-miR-140-3p"	30572	51869	29722	35250	26426	39549	91758	71483	329519	51722	35364	35386	4813	32002
"hsa-miR-140-5p"	37	42	17	74	100	100	278	142	740	230	26	23	8	32
"hsa-miR-141-3p"	155	153	299	505	355	266	1728	674	3057	809	111	586	39	335
"hsa-miR-141-5p"	5	8	4	14	13	14	35	33	113	20	0	20	0	4
"hsa-miR-142-3p"	3	5	16	43	2	8	196	30	75	26	131	116	9	27
"hsa-miR-142-5p"	276	468	10331	5942	1121	589	108319	2635	14018	2515	11504	6706	1038	11888
"hsa-miR-143-3p"	505411	1237947	688630	1036074	594410	641382	4923648	1164152	4268482	1141009	59297	190361	75829	1015895
"hsa-miR-143-5p"	57	87	22	130	60	75	191	145	1364	205	12	92	14	96
"hsa-miR-144-5p"	15	14	32	42	77	25	289	15	62	44	56	7	3	27
"hsa-miR-145-3p"	148	302	205	290	296	362	3539	419	1847	832	63	274	50	577
"hsa-miR-145-5p"	61984	179873	23596	99224	58892	68251	209989	109470	380950	110077	15300	148275	13862	88390
"hsa-miR-1468-5p"	1584	1665	660	1655	1663	3017	1522	2864	7343	4418	333	721	188	1402
"hsa-miR-146a-5p"	369	271	5577	2059	1223	814	16020	798	6947	1376	1865	2236	386	1869
"hsa-miR-146b-3p"	1119	1158	13965	7380	1155	1887	9120	8539	22096	3610	11836	11141	1067	10637
"hsa-miR-146b-5p"	1532	1050	102958	23967	3147	2504	96217	9030	66423	6868	6669	5762	1463	12050
"hsa-miR-148a-3p"	21317	10248	14607	14310	21436	16905	122437	18964	70628	29799	10482	7813	3542	15912
"hsa-miR-148a-5p"	4375	2539	3206	2666	2262	3003	8023	3742	10287	3641	3092	1828	1332	2227
"hsa-miR-148b-3p"	5325	7609	6167	6651	4501	11591	16176	12940	57566	16081	6394	9878	1610	14967
"hsa-miR-148b-5p"	71	82	122	207	191	135	660	160	1339	410	95	139	17	194
"hsa-miR-149-5p"	1763	3422	803	7306	2722	2728	4052	9772	23893	3857	3081	7502	638	6096
"hsa-miR-150-3p"	32	41	235	227	74	60	510	395	597	108	662	731	167	668
"hsa-miR-150-5p"	62201	117194	190893	510684	95987	101505	1135566	460546	598221	112330	637378	759048	263389	2412172
"hsa-miR-151a-3p"	33497	32891	36717	39340	29604	35418	108700	47267	307615	61352	14975	21930	4076	25074
"hsa-miR-151a-5p"	40119	31342	28397	63419	48469	57477	95367	78392	425191	95777	18861	29185	4820	39107
"hsa-miR-151b"	2486	2064	1581	3563	3178	3269	5450	4559	23561	5184	1186	1516	330	2413
"hsa-miR-152-3p"	3211	4227	1585	6114	5053	4826	13777	7016	27605	8554	946	1933	409	3832
"hsa-miR-152-5p"	23	30	32	34	17	36	80	30	274	34	20	32	2	27
"hsa-miR-1538"	20	12	25	44	16	18	43	47	113	23	35	33	12	75
"hsa-miR-155-5p"	947	991	13501	8834	1708	1896	28647	2791	14583	2584	7863	6659	4643	8761
"hsa-miR-15a-5p"	212	212	872	1135	718	493	4970	596	3678	1139	573	498	88	952
"hsa-miR-15b-3p"	14	18	56	67	90	46	457	10	211	66	24	25	2	28
"hsa-miR-15b-5p"	2881	3519	3618	4135	2252	4707	8102	6772	22947	8455	12192	11494	949	7857
"hsa-miR-16-2-3p"	95	101	360	389	381	162	1497	145	862	312	273	162	59	330
"hsa-miR-16-5p"	5184	4511	13824	19285	13967	9830	102913	13085	85815	25528	11783	10029	1069	11729
"hsa-miR-17-3p"	44	62	77	135	101	115	232	140	1588	200	154	168	13	122
"hsa-miR-17-5p"	1033	475	396	902	1241	1169	2349	1605	8207	2370	397	475	35	384
"hsa-miR-181a-2-3p"	18196	16765	7181	20047	11860	12174	23424	79026	98775	14288	3742	12521	2752	31062
"hsa-miR-181a-3p"	6462	6249	10137	8309	5100	5757	19949	11946	26846	8148	5248	5900	2175	9615
"hsa-miR-181a-5p"	364460	442348	819598	482476	320511	383462	863719	810672	2648899	472040	558608	960545	103530	476528
"hsa-miR-181b-5p"	14342	14079	25759	21970	17874	15848	52187	31663	126771	19275	9502	14629	3887	16596
"hsa-miR-181c-3p"	259	628	266	360	303	414	1748	992	3228	423	204	642	29	466
"hsa-miR-181c-5p"	3591	6607	4960	7100	6321	4121	24225	16248	46458	7378	6424	11773	540	6716
"hsa-miR-181d-5p"	248	359	281	350	330	202	1323	916	3699	331	121	302	28	306
"hsa-miR-182-5p"	14659	13389	42741	27962	12078	6460	224166	28014	143340	12879	3666	5991	4700	59540
"hsa-miR-183-3p"	20	15	68	88	29	24	285	115	768	47	53	66	18	149
"hsa-miR-183-5p"	486	668	1636	1721	430	670	6033	2754	23781	1456	816	1197	253	2646
"hsa-miR-184"	1364	380	56	922	427	2880	134	15	565	2408	7	24	3	34
"hsa-miR-185-3p"	11	29	27	26	8	24	44	18	88	20	42	50	6	24
"hsa-miR-185-5p"	170	58	199	214	110	99	423	129	693	202	249	113	5	97
"hsa-miR-186-5p"	5509	6710	9699	15055	7964	10369	41613	10505	114929	22042	11487	14706	1485	10802
"hsa-miR-187-3p"	812	375	84	285	388	1142	479	174	3134	1237	14	106	8	95
"hsa-miR-187-5p"	10	5	5	5	4	11	6	16	69	19	2	3	2	5
"hsa-miR-188-3p"	2	8	7	26	18	28	21	34	134	36	2	9	4	0
"hsa-miR-188-5p"	60	31	10	58	65	54	27	78	381	85	9	17	2	15
"hsa-miR-18a-3p"	97	127	179	286	125	138	294	333	2018	276	479	409	41	306
"hsa-miR-18a-5p"	3	5	20	3	15	4	54	13	69	29	22	21	0	6
"hsa-miR-18b-3p"	8	3	6	22	6	12	2	27	119	17	7	25	2	8
"hsa-miR-1908-3p"	2	4	11	18	5	5	10	70	92	5	27	32	15	16
"hsa-miR-1908-5p"	49	47	63	123	39	38	70	425	339	64	140	82	14	63
"hsa-miR-190a-5p"	24	11	12	39	26	28	25	77	72	211	3	3	0	0
"hsa-miR-190b"	4	23	10	17	10	17	68	15	38	31	0	2	0	17
"hsa-miR-191-3p"	59	86	38	157	82	133	144	125	924	193	123	190	29	211
"hsa-miR-191-5p"	101860	124637	287643	302502	130475	172411	557108	352747	2129539	349858	325692	408499	51209	217005
"hsa-miR-1910-5p"	28	39	71	153	123	59	60	205	813	145	109	163	75	120
"hsa-miR-192-3p"	83	58	55	75	118	237	81	11	475	472	12	0	5	28
"hsa-miR-192-5p"	70883	54641	181875	71994	97789	84987	150939	17457	304337	178530	1728	1483	5447	25711
"hsa-miR-193a-3p"	37	65	24	113	78	67	294	151	514	60	25	40	2	91
"hsa-miR-193a-5p"	7177	5533	3475	11986	5218	5128	7745	23187	22871	6520	3111	3419	817	5104
"hsa-miR-193b-3p"	3786	5564	2976	6318	6738	4045	4806	4478	31335	9514	6825	12384	1188	3610
"hsa-miR-193b-5p"	225	107	75	290	202	138	71	495	630	276	259	226	111	100
"hsa-miR-194-3p"	1825	980	850	1159	1184	1660	380	359	3889	2155	32	28	129	281
"hsa-miR-194-5p"	3756	3242	3580	5800	7534	9855	6625	1333	28818	23918	253	222	166	971
"hsa-miR-195-3p"	404	595	408	436	370	540	1940	665	3447	771	160	336	48	823
"hsa-miR-195-5p"	2655	1929	1028	3040	3167	4117	34461	4143	12212	5918	362	802	202	5503
"hsa-miR-196a-3p"	4	0	18	8	20	3	72	47	38	38	0	14	0	0
"hsa-miR-196a-5p"	7430	6052	2225	8291	11524	7522	21701	8684	26659	16278	310	1119	296	6759
"hsa-miR-196b-5p"	1198	710	687	1063	1878	1519	5338	2603	6785	1784	97	665	78	1295
"hsa-miR-197-3p"	13320	14857	24550	39996	17815	16546	33292	83676	177407	33036	84336	103962	20432	54251
"hsa-miR-197-5p"	5	8	20	35	12	21	12	51	91	19	84	44	14	35
"hsa-miR-1976"	106	114	200	325	159	140	177	353	1488	264	325	227	90	240
"hsa-miR-199a-3p"	9655	6224	7023	15555	19590	14577	152194	19387	101253	31441	2200	10482	784	21180
"hsa-miR-199a-5p"	837	1414	1311	2331	1553	2102	10725	3953	35362	4635	1051	6564	145	2367
"hsa-miR-199b-3p"	9650	6218	7013	15544	19575	14562	152118	19365	101196	31416	2200	10469	784	21158
"hsa-miR-199b-5p"	62	135	134	308	185	140	4795	429	4458	474	63	825	16	471
"hsa-miR-19a-3p"	0	0	2	5	0	0	40	16	36	11	3	2	2	9
"hsa-miR-19b-3p"	150	105	140	203	207	126	2041	247	967	287	71	81	19	253
"hsa-miR-200a-3p"	1024	957	976	2600	2168	1447	5702	3555	15243	3597	447	704	138	2301
"hsa-miR-200a-5p"	433	460	439	628	379	371	935	822	3005	457	183	234	117	623
"hsa-miR-200b-3p"	14208	15868	8387	29780	20989	20014	42631	55721	291192	48632	10713	18846	2068	27158
"hsa-miR-200b-5p"	1012	819	563	1611	992	835	1104	3810	9681	1819	626	1050	195	1320
"hsa-miR-200c-3p"	16953	12764	5567	25731	16241	16178	18500	39610	105077	24722	2759	15384	1017	8270
"hsa-miR-203a-3p"	498	896	438	1207	1276	470	1982	2603	5691	928	211	836	69	715
"hsa-miR-204-3p"	1619	635	325	1179	1548	1434	415	1520	2749	2402	58	240	124	297
"hsa-miR-204-5p"	957631	510765	246296	716811	874099	701528	396848	599851	2145537	1493122	16819	87822	38363	223743
"hsa-miR-205-5p"	171	11265	90	727	176	1953	4156	922	5011	426	859	55292	362	525
"hsa-miR-206"	43	28	0	35	52	12	2	23	94	15	0	0	0	2
"hsa-miR-20a-5p"	784	213	192	487	1101	493	1478	1095	2577	1031	60	75	20	204
"hsa-miR-20b-5p"	576	159	96	409	526	657	491	644	2014	1194	28	52	3	63
"hsa-miR-21-3p"	233	376	7665	2823	329	606	5048	724	4980	374	1702	912	293	818
"hsa-miR-21-5p"	1733	2393	38256	18267	4415	4151	325415	14561	107452	11759	17358	9080	3263	40756
"hsa-miR-210-3p"	1166	1444	610	1933	1225	966	779	2419	4473	999	1631	728	253	343
"hsa-miR-210-5p"	298	361	223	1444	597	384	146	2001	1735	655	1712	654	209	304
"hsa-miR-211-5p"	470	195	86	505	677	293	236	374	1036	791	12	69	23	102
"hsa-miR-2110"	330	224	190	512	336	437	294	1091	1426	729	472	551	84	443
"hsa-miR-2116-3p"	76	68	101	192	63	97	209	339	1564	300	183	174	61	204
"hsa-miR-212-3p"	32	35	451	311	45	74	553	157	2385	131	453	222	14	137
"hsa-miR-212-5p"	16	39	145	180	22	87	231	89	1001	65	158	90	26	134
"hsa-miR-214-3p"	20148	15994	11359	26365	17526	20028	48505	66760	138214	34962	13348	51644	2317	25319
"hsa-miR-214-5p"	124	182	168	403	260	386	1759	461	2818	898	238	707	23	456
"hsa-miR-215-5p"	56	120	302	181	237	207	306	164	2058	529	13	14	56	58
"hsa-miR-216b-5p"	127	27	23	86	10	792	9	10	1139	554	3	0	0	0
"hsa-miR-218-5p"	35	27	27	27	52	70	344	28	358	217	8	16	2	12
"hsa-miR-219a-1-3p"	57	37	88	66	34	33	104	120	376	69	36	52	21	74
"hsa-miR-22-3p"	33062	29981	92997	131492	76086	71563	490545	62957	961495	167670	62503	52267	7830	49091
"hsa-miR-22-5p"	244	181	224	326	344	329	1113	131	1637	502	84	111	28	133
"hsa-miR-221-3p"	10222	9324	20135	25524	16213	20277	38156	20915	107868	28948	11883	17562	1884	19665
"hsa-miR-221-5p"	57	37	105	168	74	176	436	259	1446	173	111	187	19	279
"hsa-miR-222-3p"	12126	11529	16811	20598	11350	15497	27437	22100	175999	24022	23745	44916	1910	20929
"hsa-miR-222-5p"	6	2	8	18	11	15	23	19	105	15	11	0	3	20
"hsa-miR-223-3p"	248	460	3745	2215	661	1158	9969	865	13599	1588	7997	3347	236	3722
"hsa-miR-224-3p"	2	0	3	4	7	5	45	15	118	12	13	17	0	10
"hsa-miR-224-5p"	94	136	344	418	147	134	1823	272	5148	326	253	372	26	649
"hsa-miR-2276-3p"	20	13	12	17	9	22	16	53	254	36	11	24	8	25
"hsa-miR-2277-3p"	10	16	28	52	10	25	57	47	155	23	61	65	6	37
"hsa-miR-2277-5p"	13	11	41	65	24	36	64	58	382	60	54	75	6	48
"hsa-miR-23a-3p"	19333	20998	14479	22991	21548	19674	119955	29805	143479	31723	14101	16377	2634	37911
"hsa-miR-23a-5p"	160	79	115	263	326	343	151	534	388	301	338	118	32	161
"hsa-miR-23b-3p"	50438	86524	46254	68438	59269	85084	203717	69236	692317	120531	33459	141768	5586	92859
"hsa-miR-23b-5p"	86	52	10	84	70	102	97	246	351	127	48	42	16	82
"hsa-miR-23c"	65	85	91	67	73	79	216	117	3401	139	39	113	5	95
"hsa-miR-24-1-5p"	16	31	6	22	28	36	80	51	180	44	7	19	0	22
"hsa-miR-24-2-5p"	40	83	83	163	74	107	576	169	903	98	76	85	28	195
"hsa-miR-24-3p"	4891	4044	3231	6251	6831	6803	27197	10979	36060	11773	3402	3996	504	5914
"hsa-miR-25-3p"	31201	37435	46454	41143	29746	32698	140980	53416	206157	43816	18765	18824	7799	51670
"hsa-miR-25-5p"	118	94	136	363	116	109	260	525	1336	182	424	424	107	358
"hsa-miR-26a-1-3p"	10	16	6	21	15	9	106	11	88	42	4	2	0	9
"hsa-miR-26a-2-3p"	35	49	46	74	83	16	655	29	197	87	0	6	3	19
"hsa-miR-26a-5p"	472674	478732	842518	542839	389886	657803	2634471	567676	3738712	1326444	239532	742651	43413	546256
"hsa-miR-26b-3p"	1221	1214	391	1490	1083	1276	2971	1658	7111	2009	580	910	257	2647
"hsa-miR-26b-5p"	10718	5828	5487	12038	27632	18559	72313	16217	61888	41536	1728	2204	355	9395
"hsa-miR-27a-3p"	2750	4139	5603	8601	5607	6721	33224	10597	54213	11247	8944	8540	873	13218
"hsa-miR-27a-5p"	151	212	180	148	315	368	592	155	384	238	112	47	28	169
"hsa-miR-27b-3p"	81809	110740	111604	159997	149690	195589	552296	245122	972631	262500	43214	118761	12898	194136
"hsa-miR-27b-5p"	1558	1842	686	1397	1267	1724	3909	2635	9102	1846	336	803	230	3080
"hsa-miR-28-3p"	72611	80837	84649	62608	47246	56659	166520	90795	569110	105747	48068	77169	19248	105503
"hsa-miR-28-5p"	2779	3873	3716	8056	4952	5919	14619	6479	47690	10802	3171	4095	1075	8189
"hsa-miR-296-3p"	14	6	0	25	22	9	40	36	105	44	14	20	6	12
"hsa-miR-296-5p"	103	90	60	175	135	145	238	626	419	397	154	183	37	97
"hsa-miR-299-5p"	5	7	28	19	18	22	64	2	309	37	9	49	0	40
"hsa-miR-29a-3p"	3741	5842	6652	14669	9003	9759	37458	9576	108389	25336	10597	8847	1698	10507
"hsa-miR-29a-5p"	6	16	8	13	22	12	72	22	121	27	11	24	0	25
"hsa-miR-29b-1-5p"	189	53	103	224	140	107	289	114	249	242	37	40	18	180
"hsa-miR-29b-2-5p"	209	118	84	184	147	244	205	235	1100	529	99	134	17	106
"hsa-miR-29b-3p"	12	18	33	99	90	26	789	54	280	163	58	22	4	64
"hsa-miR-29c-3p"	193	179	200	563	629	240	3783	470	3419	1050	258	157	22	275
"hsa-miR-29c-5p"	604	368	213	325	321	517	653	269	1276	1388	233	413	48	341
"hsa-miR-301a-3p"	5	10	17	29	8	9	106	48	252	40	28	26	6	22
"hsa-miR-301b-3p"	5	3	0	5	2	5	31	15	137	18	16	7	0	19
"hsa-miR-3064-5p"	12	12	6	22	5	21	15	17	44	22	4	4	0	11
"hsa-miR-3065-3p"	87	69	49	221	157	180	39	15	287	431	8	15	0	21
"hsa-miR-3065-5p"	9	6	6	44	30	16	21	5	47	102	3	3	0	0
"hsa-miR-3074-5p"	25	22	43	35	41	53	55	43	192	127	65	28	7	25
"hsa-miR-30a-3p"	98324	71975	29967	62160	74111	87118	101322	111582	369839	138639	7934	12086	4110	70585
"hsa-miR-30a-5p"	104704	89941	126328	102512	83847	73123	184146	146992	1001826	203036	36948	50936	5950	62090
"hsa-miR-30b-3p"	872	366	148	759	668	602	339	1343	3520	1044	158	135	33	291
"hsa-miR-30b-5p"	31896	18103	13355	29566	30711	33591	100149	26911	156425	66252	6828	8621	1984	28084
"hsa-miR-30c-1-3p"	309	248	150	496	416	273	267	630	2865	495	229	205	52	230
"hsa-miR-30c-2-3p"	11922	7754	5630	9725	9168	7297	9492	11954	39752	9425	1589	2089	1191	7892
"hsa-miR-30c-5p"	192125	217605	81270	270088	167363	339581	251181	485726	2261084	706938	121505	169697	24777	246912
"hsa-miR-30d-3p"	80	85	81	207	260	199	745	225	1499	458	29	38	2	145
"hsa-miR-30d-5p"	107288	109669	122269	173173	174191	180650	225194	188847	1731008	405209	116586	195028	12703	101437
"hsa-miR-30e-3p"	11779	9731	4345	7095	6710	9991	15424	13768	45941	15724	1472	2285	662	8851
"hsa-miR-30e-5p"	2073	2060	2863	4240	3709	3518	6844	4983	43855	9008	3253	4295	186	1803
"hsa-miR-31-3p"	19	11	16	21	15	15	240	34	102	16	5	4	0	66
"hsa-miR-31-5p"	1861	2157	2040	4936	1889	2642	8611	8309	25406	3452	1913	7270	256	8645
"hsa-miR-3117-3p"	23	9	7	8	0	17	164	66	183	27	0	13	2	15
"hsa-miR-3127-5p"	69	51	70	143	47	36	90	296	313	67	38	109	22	82
"hsa-miR-3129-3p"	17	13	32	58	33	16	53	29	185	0	13	46	3	30
"hsa-miR-3154"	25	27	2	76	37	9	35	341	239	22	21	62	8	19
"hsa-miR-3157-3p"	2	3	6	4	0	6	23	12	54	23	10	13	0	0
"hsa-miR-3158-3p"	101	168	222	247	105	91	207	395	966	144	305	174	33	172
"hsa-miR-3173-5p"	19	20	28	34	31	18	34	63	301	34	93	118	6	74
"hsa-miR-3177-3p"	14	11	41	69	15	18	36	153	185	46	80	57	6	58
"hsa-miR-3187-3p"	13	9	22	18	14	12	24	40	129	26	24	44	2	17
"hsa-miR-3188"	27	0	28	46	46	24	16	74	120	11	31	11	0	36
